Syndicate_Number,Market_Risk,Counterparty_Risk,Underwriting_Risk,Operational_Risk,Diversification_Benefit,LAC_DT,Total_SCR
2987,37499689,14999875,67499441,11999900,-22499813,-7499937,149998758
33,33707602,13483041,60673684,10786432,-20224561,-6741520,134830411
1183,64944549,25977819,116900188,20782255,-38966729,-12988909,259778197
2791,68062818,27225127,122513072,21780101,-40837690,-13612563,272251272
623,41084522,16433808,73952140,13147047,-24650713,-8216904,164338089
4242,36017943,14407177,64832297,11525741,-21610765,-7203588,144071773
5000,37825088,15130035,68085158,12104028,-22695052,-7565017,151300353
1910,46560738,18624295,83809329,14899436,-27936443,-9312147,186242954
2010,28783092,11513237,51809566,9210589,-17269855,-5756618,115132370
2525,65076367,26030547,117137461,20824437,-39045820,-13015273,260305471
