reporting_period,Syndicate_Number,Own_Funds,SCR,MCR,SCR_Coverage_Ratio,MCR_Coverage_Ratio,Excess_Own_Funds
2025-11-30,2987,428359316,268855060,94099271,1.5933,4.5522,159504256
2025-11-30,33,608191391,296654241,103828984,2.0502,5.8576,311537150
2025-11-30,1183,169801037,82099999,28734999,2.0682,5.9092,87701038
2025-11-30,2791,363726273,228874917,80106220,1.5892,4.5405,134851356
2025-11-30,623,344445751,258077052,90326968,1.3347,3.8133,86368699
2025-11-30,4242,179156329,116048496,40616973,1.5438,4.4109,63107833
2025-11-30,5000,235420727,108732250,38056287,2.1651,6.1861,126688477
2025-11-30,1910,189171304,121727730,42604705,1.5541,4.4402,67443574
2025-11-30,2010,357191377,242357770,84825219,1.4738,4.2109,114833607
2025-11-30,2525,251984741,172041226,60214429,1.4647,4.1848,79943515
