Syndicate_Number,Year_of_Account,Development_Year,LOB_Code,LOB_Name,Currency,Cumulative_Paid,Case_Reserves,IBNR,Total_Incurred,As_At_Date
2987,2018,0,A1,Direct Accident & Health,GBP,1532479,3677951,2451967,7662398,2018-12-31
2987,2018,1,A1,Direct Accident & Health,GBP,3706214,4129781,2753187,10589184,2019-12-31
2987,2018,2,A1,Direct Accident & Health,GBP,4676057,2805634,1870423,9352115,2020-12-31
2987,2018,3,A1,Direct Accident & Health,GBP,1012843,327226,218150,1558220,2021-12-31
2987,2018,4,A1,Direct Accident & Health,GBP,1282850,192427,128285,1603563,2022-12-31
2987,2018,5,A1,Direct Accident & Health,GBP,7653285,241682,161121,8056090,2023-12-31
2987,2018,6,A1,Direct Accident & Health,GBP,6586774,0,0,6586774,2024-12-31
2987,2018,7,A1,Direct Accident & Health,GBP,6184562,0,0,6184562,2025-12-31
2987,2018,0,A2,Accident & Health Reinsurance,GBP,2159470,5182728,3455152,10797350,2018-12-31
2987,2018,1,A2,Accident & Health Reinsurance,GBP,2910414,3243032,2162021,8315469,2019-12-31
2987,2018,2,A2,Accident & Health Reinsurance,GBP,1559599,935759,623839,3119199,2020-12-31
2987,2018,3,A2,Accident & Health Reinsurance,GBP,8581897,2772613,1848408,13202919,2021-12-31
2987,2018,4,A2,Accident & Health Reinsurance,GBP,9952840,1492926,995284,12441050,2022-12-31
2987,2018,5,A2,Accident & Health Reinsurance,GBP,8137780,256982,171321,8566085,2023-12-31
2987,2018,6,A2,Accident & Health Reinsurance,GBP,3688565,0,0,3688565,2024-12-31
2987,2018,7,A2,Accident & Health Reinsurance,GBP,3047177,0,0,3047177,2025-12-31
2987,2018,0,D1,Direct Motor (Private Car),GBP,478343,1148024,765349,2391717,2018-12-31
2987,2018,1,D1,Direct Motor (Private Car),GBP,1709142,1904473,1269648,4883265,2019-12-31
2987,2018,2,D1,Direct Motor (Private Car),GBP,5221149,3132689,2088459,10442299,2020-12-31
2987,2018,3,D1,Direct Motor (Private Car),GBP,5449093,1760476,1173650,8383220,2021-12-31
2987,2018,4,D1,Direct Motor (Private Car),GBP,8842311,1326346,884231,11052889,2022-12-31
2987,2018,5,D1,Direct Motor (Private Car),GBP,14762302,466177,310785,15539266,2023-12-31
2987,2018,6,D1,Direct Motor (Private Car),GBP,1000299,0,0,1000299,2024-12-31
2987,2018,7,D1,Direct Motor (Private Car),GBP,3500478,0,0,3500478,2025-12-31
2987,2018,0,D2,Direct Motor (Commercial),GBP,2853995,6849589,4566392,14269978,2018-12-31
2987,2018,1,D2,Direct Motor (Commercial),GBP,2149146,2394763,1596508,6140418,2019-12-31
2987,2018,2,D2,Direct Motor (Commercial),GBP,4000449,2400269,1600179,8000899,2020-12-31
2987,2018,3,D2,Direct Motor (Commercial),GBP,599348,193635,129090,922074,2021-12-31
2987,2018,4,D2,Direct Motor (Commercial),GBP,6601251,990187,660125,8251564,2022-12-31
2987,2018,5,D2,Direct Motor (Commercial),GBP,4339559,137038,91359,4567957,2023-12-31
2987,2018,6,D2,Direct Motor (Commercial),GBP,3648250,0,0,3648250,2024-12-31
2987,2018,7,D2,Direct Motor (Commercial),GBP,8664472,0,0,8664472,2025-12-31
2987,2018,0,E1,Energy Offshore,GBP,2501680,6004033,4002688,12508402,2018-12-31
2987,2018,1,E1,Energy Offshore,GBP,1286039,1433015,955343,3674397,2019-12-31
2987,2018,2,E1,Energy Offshore,GBP,2137291,1282374,854916,4274582,2020-12-31
2987,2018,3,E1,Energy Offshore,GBP,9986320,3226349,2150899,15363569,2021-12-31
2987,2018,4,E1,Energy Offshore,GBP,6132668,919900,613266,7665835,2022-12-31
2987,2018,5,E1,Energy Offshore,GBP,3710502,117173,78115,3905792,2023-12-31
2987,2018,6,E1,Energy Offshore,GBP,6177400,0,0,6177400,2024-12-31
2987,2018,7,E1,Energy Offshore,GBP,7276780,0,0,7276780,2025-12-31
2987,2019,0,A1,Direct Accident & Health,GBP,352798,846717,564478,1763993,2019-12-31
2987,2019,1,A1,Direct Accident & Health,GBP,4703096,5240593,3493728,13437419,2020-12-31
2987,2019,2,A1,Direct Accident & Health,GBP,7137768,4282661,2855107,14275536,2021-12-31
2987,2019,3,A1,Direct Accident & Health,GBP,2463146,795785,530523,3789455,2022-12-31
2987,2019,4,A1,Direct Accident & Health,GBP,8029067,1204360,802906,10036334,2023-12-31
2987,2019,5,A1,Direct Accident & Health,GBP,14198156,448362,298908,14945428,2024-12-31
2987,2019,6,A1,Direct Accident & Health,GBP,12701782,0,0,12701782,2025-12-31
2987,2019,0,A2,Accident & Health Reinsurance,GBP,2872409,6893782,4595855,14362046,2019-12-31
2987,2019,1,A2,Accident & Health Reinsurance,GBP,1994048,2221939,1481293,5697280,2020-12-31
2987,2019,2,A2,Accident & Health Reinsurance,GBP,6100924,3660554,2440369,12201848,2021-12-31
2987,2019,3,A2,Accident & Health Reinsurance,GBP,5498637,1776482,1184321,8459442,2022-12-31
2987,2019,4,A2,Accident & Health Reinsurance,GBP,9265684,1389852,926568,11582105,2023-12-31
2987,2019,5,A2,Accident & Health Reinsurance,GBP,4779232,150923,100615,5030771,2024-12-31
2987,2019,6,A2,Accident & Health Reinsurance,GBP,5658782,0,0,5658782,2025-12-31
2987,2019,0,D1,Direct Motor (Private Car),GBP,2123358,5096061,3397374,10616793,2019-12-31
2987,2019,1,D1,Direct Motor (Private Car),GBP,1329755,1481727,987818,3799301,2020-12-31
2987,2019,2,D1,Direct Motor (Private Car),GBP,805723,483434,322289,1611447,2021-12-31
2987,2019,3,D1,Direct Motor (Private Car),GBP,1059896,342428,228285,1630610,2022-12-31
2987,2019,4,D1,Direct Motor (Private Car),GBP,1771640,265746,177164,2214551,2023-12-31
2987,2019,5,D1,Direct Motor (Private Car),GBP,7051723,222686,148457,7422867,2024-12-31
2987,2019,6,D1,Direct Motor (Private Car),GBP,5451094,0,0,5451094,2025-12-31
2987,2019,0,D2,Direct Motor (Commercial),GBP,1845177,4428425,2952283,9225886,2019-12-31
2987,2019,1,D2,Direct Motor (Commercial),GBP,4564262,5085892,3390595,13040751,2020-12-31
2987,2019,2,D2,Direct Motor (Commercial),GBP,1801943,1081165,720777,3603886,2021-12-31
2987,2019,3,D2,Direct Motor (Commercial),GBP,5947598,1921531,1281021,9150151,2022-12-31
2987,2019,4,D2,Direct Motor (Commercial),GBP,7536926,1130538,753692,9421158,2023-12-31
2987,2019,5,D2,Direct Motor (Commercial),GBP,1925544,60806,40537,2026888,2024-12-31
2987,2019,6,D2,Direct Motor (Commercial),GBP,2040370,0,0,2040370,2025-12-31
2987,2019,0,E1,Energy Offshore,GBP,1907893,4578944,3052629,9539466,2019-12-31
2987,2019,1,E1,Energy Offshore,GBP,897415,999977,666651,2564044,2020-12-31
2987,2019,2,E1,Energy Offshore,GBP,2452838,1471703,981135,4905677,2021-12-31
2987,2019,3,E1,Energy Offshore,GBP,2293981,741132,494088,3529202,2022-12-31
2987,2019,4,E1,Energy Offshore,GBP,5256407,788461,525640,6570509,2023-12-31
2987,2019,5,E1,Energy Offshore,GBP,2103190,66416,44277,2213885,2024-12-31
2987,2019,6,E1,Energy Offshore,GBP,9521984,0,0,9521984,2025-12-31
2987,2020,0,A1,Direct Accident & Health,GBP,3002587,7206210,4804140,15012937,2020-12-31
2987,2020,1,A1,Direct Accident & Health,GBP,1185922,1321455,880970,3388348,2021-12-31
2987,2020,2,A1,Direct Accident & Health,GBP,2306689,1384013,922675,4613378,2022-12-31
2987,2020,3,A1,Direct Accident & Health,GBP,7223483,2333740,1555827,11113052,2023-12-31
2987,2020,4,A1,Direct Accident & Health,GBP,9379229,1406884,937922,11724036,2024-12-31
2987,2020,5,A1,Direct Accident & Health,GBP,3728704,117748,78499,3924951,2025-12-31
2987,2020,0,A2,Accident & Health Reinsurance,GBP,1568191,3763659,2509106,7840956,2020-12-31
2987,2020,1,A2,Accident & Health Reinsurance,GBP,3211781,3578842,2385894,9176518,2021-12-31
2987,2020,2,A2,Accident & Health Reinsurance,GBP,7021864,4213118,2808745,14043729,2022-12-31
2987,2020,3,A2,Accident & Health Reinsurance,GBP,5766502,1863023,1242015,8871542,2023-12-31
2987,2020,4,A2,Accident & Health Reinsurance,GBP,4707342,706101,470734,5884178,2024-12-31
2987,2020,5,A2,Accident & Health Reinsurance,GBP,1918398,60581,40387,2019367,2025-12-31
2987,2020,0,D1,Direct Motor (Private Car),GBP,1820971,4370331,2913554,9104858,2020-12-31
2987,2020,1,D1,Direct Motor (Private Car),GBP,1907064,2125014,1416676,5448756,2021-12-31
2987,2020,2,D1,Direct Motor (Private Car),GBP,5534159,3320495,2213663,11068319,2022-12-31
2987,2020,3,D1,Direct Motor (Private Car),GBP,6275744,2027548,1351698,9654992,2023-12-31
2987,2020,4,D1,Direct Motor (Private Car),GBP,6956827,1043524,695682,8696034,2024-12-31
2987,2020,5,D1,Direct Motor (Private Car),GBP,3281462,103625,69083,3454170,2025-12-31
2987,2020,0,D2,Direct Motor (Commercial),GBP,472431,1133835,755890,2362158,2020-12-31
2987,2020,1,D2,Direct Motor (Commercial),GBP,1903170,2120675,1413783,5437630,2021-12-31
2987,2020,2,D2,Direct Motor (Commercial),GBP,3156208,1893725,1262483,6312417,2022-12-31
2987,2020,3,D2,Direct Motor (Commercial),GBP,1058337,341924,227949,1628211,2023-12-31
2987,2020,4,D2,Direct Motor (Commercial),GBP,8593521,1289028,859352,10741901,2024-12-31
2987,2020,5,D2,Direct Motor (Commercial),GBP,12501776,394792,263195,13159764,2025-12-31
2987,2020,0,E1,Energy Offshore,GBP,1036805,2488333,1658888,5184027,2020-12-31
2987,2020,1,E1,Energy Offshore,GBP,2203602,2455442,1636961,6296007,2021-12-31
2987,2020,2,E1,Energy Offshore,GBP,3586881,2152128,1434752,7173762,2022-12-31
