reporting_period,Syndicate_Number,Year_of_Account,LOB_Code,Net_Written_Premium,Net_Earned_Premium,Net_Paid_Claims,Net_Case_Reserves,Net_IBNR,RI_Recoveries,Net_Ultimate_Loss_Ratio
2025-11-30,2987,2018,A1,11852970,10916888,3559878,650983,1082849,2925046,0.5179
2025-11-30,2987,2018,A2,36501457,34073394,16598541,4249001,4207228,8451564,0.6743
2025-11-30,2987,2018,D1,20700495,18497497,6238976,1919636,2603401,5020027,0.6034
2025-11-30,2987,2018,D2,32527202,28131543,8619809,1388353,2771190,6697169,0.5106
2025-11-30,2987,2018,E1,32288312,30335434,10110247,2097348,5034019,5945188,0.5232
2025-11-30,2987,2019,A1,33719733,31513917,14332321,1864354,2762135,7763158,0.5986
2025-11-30,2987,2019,A2,15123549,13989187,7028520,1375144,2414536,1994182,0.667
2025-11-30,2987,2019,D1,3276872,2972381,1140177,173891,512225,660408,0.6052
2025-11-30,2987,2019,D2,25055850,23004558,8280776,1511583,2864016,6080628,0.5052
2025-11-30,2987,2019,E1,24712290,21205772,9170956,1914357,2645925,6012011,0.5308
2025-11-30,2987,2020,A1,3389591,2896014,1221285,240360,557281,847306,0.5659
2025-11-30,2987,2020,A2,11678531,9983605,4072681,711299,823260,1291746,0.5423
2025-11-30,2987,2020,D1,28594712,25035139,7739867,2329085,2843827,2947451,0.5185
2025-11-30,2987,2020,D2,16973591,15750631,4840710,1403502,2149077,2004416,0.5326
2025-11-30,2987,2020,E1,35940056,33193837,17238879,4042679,5425070,5529616,0.6602
2025-11-30,2987,2021,A1,9449933,8516896,3758916,1061394,1295775,1743121,0.6664
2025-11-30,2987,2021,A2,31391786,28009435,9114567,1604045,3797639,3576846,0.518
2025-11-30,2987,2021,D1,37449762,33568187,11009830,3163385,3148249,6527431,0.5683
2025-11-30,2987,2021,D2,38210530,34268040,9355226,3162566,3437371,9461994,0.5168
2025-11-30,2987,2021,E1,23160083,20897556,8337171,1312118,2070590,2472668,0.6683
2025-11-30,2987,2022,A1,10223072,9111843,3628104,935845,1639294,1567387,0.6021
2025-11-30,2987,2022,A2,8487462,7228150,3729453,700708,1450999,1921870,0.6537
2025-11-30,2987,2022,D1,6037261,5660991,1682166,432698,629765,1210706,0.5167
2025-11-30,2987,2022,D2,20788841,19579163,8186852,1194436,1583965,5141660,0.5683
2025-11-30,2987,2022,E1,20402514,17559078,8396614,1108675,1939890,2565826,0.6743
2025-11-30,2987,2023,A1,35018972,31184715,13420378,3201590,5196860,5092458,0.592
2025-11-30,2987,2023,A2,27208098,25747408,11329479,2786036,2357364,3272238,0.6381
2025-11-30,2987,2023,D1,15804511,13458940,6118984,1369680,1301651,3118127,0.5224
2025-11-30,2987,2023,D2,19225595,17545391,7755208,1118589,1966056,3259004,0.5872
2025-11-30,2987,2023,E1,34808869,29992918,14660592,3130105,4071300,6013476,0.5844
2025-11-30,2987,2024,A1,4317197,3922271,1480664,397269,783528,464695,0.672
2025-11-30,2987,2024,A2,3528434,3298249,1064414,223280,384279,659108,0.5205
2025-11-30,2987,2024,D1,22513548,20036338,6899841,1741635,3293958,5307815,0.5074
2025-11-30,2987,2024,D2,35742515,30598111,8899497,2687983,4288303,5010290,0.5464
2025-11-30,2987,2024,E1,30993620,26707018,13378304,3038184,4216345,5127414,0.6778
2025-11-30,2987,2025,A1,13826903,12018622,4264769,795742,1230088,3268134,0.5576
2025-11-30,2987,2025,A2,25760172,24094657,11715457,2236168,4917955,5369688,0.6843
2025-11-30,2987,2025,D1,29197369,27250140,13171267,3100387,5319059,6422348,0.692
2025-11-30,2987,2025,D2,13873364,12184222,5844973,1270777,1240735,1802463,0.6244
2025-11-30,2987,2025,E1,36030025,32124313,14021549,2068478,2955594,3857280,0.5202
2025-11-30,33,2018,A1,4216723,3694190,1574534,234998,662293,740126,0.5718
2025-11-30,33,2018,A2,7272525,6264530,2138073,562157,856644,1811218,0.5675
2025-11-30,33,2018,D1,26839818,24880765,10830148,2977017,4801883,6201456,0.6539
2025-11-30,33,2018,D2,9988852,9416123,3723918,805278,1739056,1165095,0.6413
2025-11-30,33,2018,E1,10106282,9206475,4692998,598214,1467532,1779674,0.6563
2025-11-30,33,2019,A1,14210287,13316274,6434026,851321,1535192,2362143,0.626
2025-11-30,33,2019,A2,36950147,34624108,10996863,2578631,5926186,4376653,0.5997
2025-11-30,33,2019,D1,16548630,14754344,6621703,1016846,2584110,2502119,0.5878
2025-11-30,33,2019,D2,36891501,32339147,13098058,2394705,4598182,5047410,0.5343
2025-11-30,33,2019,E1,38544228,33642103,15552893,2732974,4362177,6506765,0.5843
2025-11-30,33,2020,A1,37638595,33354473,11381839,2345132,3020518,8315759,0.6589
2025-11-30,33,2020,A2,7669514,6760526,2952123,382335,519643,1640346,0.517
2025-11-30,33,2020,D1,13130223,11236595,5713867,1352217,2134294,2336743,0.6805
2025-11-30,33,2020,D2,22845730,21442506,8806726,2232298,3333071,3359562,0.5839
2025-11-30,33,2020,E1,26096009,22911723,7962680,2251940,3220650,4356163,0.5016
2025-11-30,33,2021,A1,16766280,15298156,7218415,1411003,2069063,3718336,0.6775
2025-11-30,33,2021,A2,30145918,28279809,9385909,2641162,3756044,6265288,0.6551
2025-11-30,33,2021,D1,11456095,10357215,3557999,907749,1219439,1731088,0.6041
2025-11-30,33,2021,D2,13739253,12901597,4243459,734094,1870797,2000315,0.5047
2025-11-30,33,2021,E1,31369995,27010951,10238150,2566143,5094271,4804973,0.6974
2025-11-30,33,2022,A1,6203298,5856746,2362034,554502,488625,935749,0.6513
2025-11-30,33,2022,A2,18844223,17881283,7719648,2110721,2902520,3391833,0.6611
2025-11-30,33,2022,D1,18692595,16420576,7304041,1614234,2568511,3872220,0.5701
2025-11-30,33,2022,D2,37874238,32591641,14835235,2434109,6379558,6368418,0.6475
2025-11-30,33,2022,E1,12835022,11973070,3912611,710817,2307839,2200409,0.6423
2025-11-30,33,2023,A1,32941565,30229889,9695567,2308228,4419339,7602986,0.5156
2025-11-30,33,2023,A2,36475733,34639222,15026038,3999177,5759340,5928705,0.6273
2025-11-30,33,2023,D1,13928193,12016024,4886328,684603,1818082,3196391,0.5289
2025-11-30,33,2023,D2,10922748,9781793,3208580,667728,1539625,2602394,0.6389
2025-11-30,33,2023,E1,10970255,9772983,3309032,933495,865950,1349293,0.6203
2025-11-30,33,2024,A1,27928752,24785258,8432219,1297243,2283028,6076427,0.561
2025-11-30,33,2024,A2,31303631,29407422,11436230,1620503,4267421,5425515,0.5097
2025-11-30,33,2024,D1,11209286,9603628,3166047,875318,1200724,1881547,0.6095
2025-11-30,33,2024,D2,25670934,23040247,11220311,2368207,4332242,4510757,0.6563
2025-11-30,33,2024,E1,33932902,31107040,10950388,3382025,3012145,6573331,0.6523
2025-11-30,33,2025,A1,30489691,28661054,9713319,1489165,4237453,5075449,0.5774
2025-11-30,33,2025,A2,21614327,20243878,9004996,1865826,3580831,4454925,0.6292
2025-11-30,33,2025,D1,11306843,9707096,5236541,953983,1822680,2754278,0.6288
2025-11-30,33,2025,D2,38014304,34121014,14702678,1881712,5899249,4826353,0.5379
2025-11-30,33,2025,E1,4273295,3720247,1657560,388693,532006,481588,0.555
2025-11-30,1183,2018,A1,38805522,34543891,11176083,4007456,2994483,6424355,0.6214
2025-11-30,1183,2018,A2,30845912,27847386,8791645,1387447,4614753,5591342,0.5048
2025-11-30,1183,2018,D1,22149630,19393229,5585736,1296374,2264213,2777090,0.5288
2025-11-30,1183,2018,D2,24829889,22876523,7182780,1196773,1939389,5808993,0.5363
2025-11-30,1183,2018,E1,20309677,18944341,5679938,1171004,2982923,3816276,0.5751
2025-11-30,1183,2019,A1,36083290,32490914,15954272,2321657,3849583,6602093,0.6017
2025-11-30,1183,2019,A2,7392826,6585155,2294930,743981,743245,1807702,0.5968
2025-11-30,1183,2019,D1,9812181,8884642,3694828,595327,1041322,1104716,0.5493
2025-11-30,1183,2019,D2,36583448,34636884,11116392,3531404,5158009,6608080,0.5407
2025-11-30,1183,2019,E1,31437545,28467175,10066336,3509642,6376654,6070888,0.6923
2025-11-30,1183,2020,A1,14232794,13426515,4232726,994994,1929729,2234876,0.5001
2025-11-30,1183,2020,A2,26583257,23161338,12478595,1921553,2648792,4788000,0.6685
2025-11-30,1183,2020,D1,7693273,6843400,2098127,404915,948743,1091819,0.5601
2025-11-30,1183,2020,D2,31988508,28805076,11977515,2920478,5032540,6246571,0.5422
2025-11-30,1183,2020,E1,33381396,30584959,10117420,1871009,5417369,4982793,0.5546
2025-11-30,1183,2021,A1,11974182,10180506,4468072,1282075,1816643,1939511,0.6293
2025-11-30,1183,2021,A2,35814671,32369770,16035489,3386369,3130351,3747723,0.6525
2025-11-30,1183,2021,D1,32875307,29104491,14471797,3394523,3846867,4161290,0.6344
2025-11-30,1183,2021,D2,3565820,3163053,950726,151503,475021,762240,0.525
2025-11-30,1183,2021,E1,27012962,25166033,9271009,2338818,2323769,6672684,0.5383
2025-11-30,1183,2022,A1,27360462,24604819,9178700,1951787,1683618,6775531,0.5074
2025-11-30,1183,2022,A2,29580893,25964177,9269604,1499079,2392383,6236309,0.5222
2025-11-30,1183,2022,D1,14779541,12752152,3560316,803510,1687837,1983337,0.5131
2025-11-30,1183,2022,D2,38103301,33433085,17330249,2025391,7248189,7683918,0.6458
2025-11-30,1183,2022,E1,19973245,18741099,5725017,1559135,3064081,3944805,0.6361
2025-11-30,1183,2023,A1,24676113,23430232,7702567,2142222,2952238,3805569,0.5865
2025-11-30,1183,2023,A2,5916864,5162196,2135813,488549,804043,596265,0.6768
2025-11-30,1183,2023,D1,16059931,15064373,6303433,1630042,1462387,3267109,0.5669
2025-11-30,1183,2023,D2,7995608,6953681,2998569,471474,1270714,832989,0.6834
2025-11-30,1183,2023,E1,31987602,29084825,13499887,2400567,3493516,3716194,0.6616
2025-11-30,1183,2024,A1,18996015,17728064,9152363,1734144,2136858,2107353,0.6918
2025-11-30,1183,2024,A2,32429215,29592789,13203581,1874715,2771710,3405117,0.6528
2025-11-30,1183,2024,D1,24023826,22085976,11154303,1404077,4307177,2599818,0.678
2025-11-30,1183,2024,D2,31980224,29350056,10138289,1796857,3096114,3657723,0.5132
2025-11-30,1183,2024,E1,30588991,27834684,10833582,1355385,3161964,6707391,0.5466
2025-11-30,1183,2025,A1,9796646,9245667,3810489,697736,996326,1262515,0.5679
2025-11-30,1183,2025,A2,9891386,9113230,3120495,815467,1405450,1176058,0.5025
2025-11-30,1183,2025,D1,37151567,33142938,13668130,2548999,3353968,8156769,0.5513
2025-11-30,1183,2025,D2,7059494,6413213,2240620,538585,684104,1324007,0.5255
2025-11-30,1183,2025,E1,39315539,33997754,13975035,2943605,4800566,3979215,0.6551
2025-11-30,2791,2018,A1,12703967,11442600,4551920,1077760,1273344,1642763,0.5115
2025-11-30,2791,2018,A2,16446730,14310729,4860658,1022041,2124239,3351451,0.6281
2025-11-30,2791,2018,D1,34366843,30349858,13284666,3756352,4919480,5595069,0.62
2025-11-30,2791,2018,D2,13890425,13023808,5233160,937798,2066680,2719954,0.521
2025-11-30,2791,2018,E1,18453427,16078726,6505891,1717114,2919294,4079881,0.5933
2025-11-30,2791,2019,A1,28227014,24513029,11408073,1775924,2035404,2949797,0.5411
2025-11-30,2791,2019,A2,10730222,9593256,3625855,971227,1047854,2642814,0.5285
2025-11-30,2791,2019,D1,16362909,14193427,6318056,1340958,1599498,2997288,0.5396
2025-11-30,2791,2019,D2,14981712,12998249,4269572,727990,2178342,1806592,0.5392
2025-11-30,2791,2019,E1,10447004,9099588,3480391,693657,1109143,1313229,0.5677
2025-11-30,2791,2020,A1,38361454,36434538,19060933,4477491,3515218,4667240,0.6954
2025-11-30,2791,2020,A2,11777482,10236611,4373070,911353,1768905,2903705,0.659
2025-11-30,2791,2020,D1,19411448,17980984,8316761,2197316,2297050,2373729,0.6842
2025-11-30,2791,2020,D2,19587408,18207694,7120223,1651889,2943781,4561420,0.5107
2025-11-30,2791,2020,E1,17041695,15822643,7560103,1556336,1651477,2696292,0.6455
2025-11-30,2791,2021,A1,37169049,33522365,10762421,3231692,4584996,6411458,0.5749
2025-11-30,2791,2021,A2,36204930,32878372,13811910,3425082,5102288,4745740,0.5948
2025-11-30,2791,2021,D1,16623132,14519282,5060174,1202306,1843910,2054309,0.5904
2025-11-30,2791,2021,D2,28105919,24128253,10459045,1695541,3304034,3780994,0.5509
2025-11-30,2791,2021,E1,5761054,5254729,1974214,433071,661492,1271324,0.5931
2025-11-30,2791,2022,A1,24274880,20693651,7842252,1434644,1799455,5709970,0.5546
2025-11-30,2791,2022,A2,22764756,20517398,9787096,2413494,4364559,2612514,0.6685
2025-11-30,2791,2022,D1,7788128,7045160,2450915,657186,735123,1649383,0.572
2025-11-30,2791,2022,D2,21419004,19499934,5663496,1907581,2869019,3886881,0.5381
2025-11-30,2791,2022,E1,20524503,18060483,7174040,1630191,1984142,3301648,0.5017
2025-11-30,2791,2023,A1,3797972,3422978,1531382,214301,432429,509076,0.5944
2025-11-30,2791,2023,A2,17084474,15403063,6969943,1583063,2541362,2890866,0.5949
2025-11-30,2791,2023,D1,8763031,7613186,3357668,738516,777619,1467770,0.5626
2025-11-30,2791,2023,D2,5020250,4557136,1409989,503191,351390,1112287,0.5749
2025-11-30,2791,2023,E1,26800993,23904200,9981511,1831769,3960094,4841347,0.568
2025-11-30,2791,2024,A1,24882825,22562694,7061537,1442739,4545802,6199272,0.6174
2025-11-30,2791,2024,A2,29231907,25444049,11540299,2715209,3131332,3399546,0.696
2025-11-30,2791,2024,D1,33302022,29321249,10483352,3083547,3177335,7458694,0.6278
2025-11-30,2791,2024,D2,35790285,31133964,13084384,2144956,2840795,5141840,0.5054
2025-11-30,2791,2024,E1,38191599,32682282,11887329,1907725,5393379,6172877,0.514
2025-11-30,2791,2025,A1,13538470,11682532,5437985,1458077,1795440,3188825,0.6979
2025-11-30,2791,2025,A2,16856617,14674826,5139471,1338528,1821684,3212136,0.526
2025-11-30,2791,2025,D1,23824802,21448218,9642845,1582164,1785124,2892421,0.6175
2025-11-30,2791,2025,D2,7292956,6640126,2541236,547422,1078760,1266376,0.6649
2025-11-30,2791,2025,E1,34050966,31453867,11236520,3521524,4234541,6982064,0.6152
2025-11-30,623,2018,A1,22961446,21407942,9359467,1613191,2022364,4423763,0.5782
2025-11-30,623,2018,A2,31996170,30111061,9559186,2590492,3612173,7738373,0.5916
2025-11-30,623,2018,D1,19085676,16524248,9236981,1728767,3101514,2099645,0.6771
2025-11-30,623,2018,D2,17579727,15665783,8132473,1104088,2233652,3749923,0.6817
2025-11-30,623,2018,E1,36849364,32523297,14090036,2534427,5081814,6239523,0.6533
2025-11-30,623,2019,A1,7912066,7259812,2923423,568052,953072,1021926,0.6278
2025-11-30,623,2019,A2,5535014,4768238,2015452,313268,708082,955973,0.5021
2025-11-30,623,2019,D1,7579319,6940399,2599713,484543,801521,1075287,0.5165
2025-11-30,623,2019,D2,13829124,11779739,3546604,808176,1597214,2193678,0.5341
2025-11-30,623,2019,E1,8206661,6984862,2769097,645800,791359,1700106,0.6343
2025-11-30,623,2020,A1,38721968,35611596,14744534,3389825,4951279,8033320,0.5432
2025-11-30,623,2020,A2,9898340,8718778,2665092,460467,1482311,2128807,0.5781
2025-11-30,623,2020,D1,19757068,17264793,5422924,1387698,3385776,2974772,0.5749
2025-11-30,623,2020,D2,15895090,13611238,7456746,906389,2733203,3172919,0.636
2025-11-30,623,2020,E1,14210351,12807078,5022771,811726,1683360,2752559,0.5088
2025-11-30,623,2021,A1,39353049,35133931,11842353,2064142,4060592,4023817,0.579
2025-11-30,623,2021,A2,24222522,21104521,6279712,1774238,2070271,4689151,0.5024
2025-11-30,623,2021,D1,5948692,5186403,1650810,427277,907045,685717,0.5135
2025-11-30,623,2021,D2,38982533,36730215,15928944,2699312,3516851,5794876,0.6583
2025-11-30,623,2021,E1,29076185,27542029,12162148,2092049,4331097,6762976,0.6356
2025-11-30,623,2022,A1,24338402,22309481,7961352,1384271,4811114,4072708,0.6956
2025-11-30,623,2022,A2,37294383,32567042,14669865,4189333,3791829,7177389,0.6281
2025-11-30,623,2022,D1,11325268,10462184,4308309,903282,832086,1768763,0.5618
2025-11-30,623,2022,D2,22905477,20330324,7954358,1284933,3101419,5687033,0.5404
2025-11-30,623,2022,E1,32777961,28938645,11327681,3065523,5455097,5838768,0.6479
2025-11-30,623,2023,A1,30843024,27106253,8876605,3198191,3488218,4205056,0.6296
2025-11-30,623,2023,A2,39192599,36910328,14945306,3206132,4911546,5226983,0.5108
2025-11-30,623,2023,D1,28601086,24835883,11043013,1494358,3603528,6951470,0.6043
2025-11-30,623,2023,D2,6496832,5614258,2082228,363186,923171,1459728,0.6269
2025-11-30,623,2023,E1,16715262,14338626,6106011,1016724,2286003,2285623,0.5473
2025-11-30,623,2024,A1,14840386,13064141,5742389,1629561,1440396,3403847,0.6212
2025-11-30,623,2024,A2,35290819,33429423,10370209,1762318,3631977,6203910,0.516
2025-11-30,623,2024,D1,32087027,29903837,14396316,1715276,3947205,7319254,0.6521
2025-11-30,623,2024,D2,23148198,20029669,9572082,1515054,2915457,3889833,0.619
2025-11-30,623,2024,E1,28175681,25304140,9490059,2613985,2678564,6689464,0.6124
2025-11-30,623,2025,A1,3280552,2952726,1100675,212921,472556,790753,0.5026
2025-11-30,623,2025,A2,28041330,24698272,12070289,1409173,4517522,6978670,0.5768
2025-11-30,623,2025,D1,11353544,10292678,3329463,809849,1087049,2690368,0.577
2025-11-30,623,2025,D2,26392719,23723417,10430132,2377321,3767656,6307274,0.6019
2025-11-30,623,2025,E1,19561918,16695133,7445354,1535288,2593839,4002773,0.5485
2025-11-30,4242,2018,A1,12924346,11574360,4670325,752516,1630152,3137601,0.5523
2025-11-30,4242,2018,A2,13833210,12824730,4471543,1193360,1331622,2599593,0.5025
2025-11-30,4242,2018,D1,8392084,7291733,2922701,825690,838568,1219646,0.6037
2025-11-30,4242,2018,D2,38782534,34449705,13288003,2968298,6804597,8111282,0.6317
2025-11-30,4242,2018,E1,8964195,8132866,3224364,755137,787888,1178153,0.5219
2025-11-30,4242,2019,A1,29707329,25270302,9513277,2455152,2612232,6418611,0.6398
2025-11-30,4242,2019,A2,31040741,28416312,12580566,1822794,3519961,6382196,0.605
2025-11-30,4242,2019,D1,16288932,14664296,4699940,1330082,1539787,2119859,0.5973
2025-11-30,4242,2019,D2,15262762,13266216,7524403,1688572,2013535,3616445,0.6618
2025-11-30,4242,2019,E1,10327982,8950359,3742796,819425,1181533,1562859,0.6737
2025-11-30,4242,2020,A1,18755827,17204353,5364592,961850,2852115,1895913,0.5956
2025-11-30,4242,2020,A2,5809133,5241194,1364258,423291,898007,1244342,0.5194
2025-11-30,4242,2020,D1,35609952,31468621,12257044,2479175,5933907,8899524,0.5946
2025-11-30,4242,2020,D2,19079084,17486129,7399266,1125574,2417074,2853053,0.6882
2025-11-30,4242,2020,E1,9722789,9110779,2777054,796023,1394540,1009731,0.5006
2025-11-30,4242,2021,A1,11247312,9874541,5000105,1223959,1411997,2167950,0.6738
2025-11-30,4242,2021,A2,34890093,31960122,9486905,3025436,6091563,5175161,0.603
2025-11-30,4242,2021,D1,27172989,25731727,12296922,2709526,2970731,4692243,0.6747
2025-11-30,4242,2021,D2,8460596,7986028,3530171,615055,1149508,1733787,0.5697
2025-11-30,4242,2021,E1,9741469,8566514,3204368,594316,1346024,1809808,0.6469
2025-11-30,4242,2022,A1,36865590,33171381,8887795,3047092,5587641,9145723,0.5063
2025-11-30,4242,2022,A2,34326622,30709580,8878339,2679128,2992314,4522399,0.5336
2025-11-30,4242,2022,D1,9001667,8545607,2151942,811026,838559,1417973,0.5211
2025-11-30,4242,2022,D2,21814496,19104325,7036857,2014729,1687230,2625668,0.5441
2025-11-30,4242,2022,E1,38872593,34954075,16777069,2759710,3904838,7245688,0.6267
2025-11-30,4242,2023,A1,7339730,6515485,3070184,708896,870875,1440901,0.6288
2025-11-30,4242,2023,A2,32324040,28198040,10367144,1898613,2909797,6823190,0.6617
2025-11-30,4242,2023,D1,15626960,13464354,5682049,1676593,2958370,2915014,0.6489
2025-11-30,4242,2023,D2,3112641,2829409,887074,207901,343426,671372,0.5622
2025-11-30,4242,2023,E1,11476343,10445328,3580921,828487,1503313,1940539,0.604
2025-11-30,4242,2024,A1,12710705,11181382,4347168,1247641,1235320,1811388,0.6632
2025-11-30,4242,2024,A2,5304777,4672920,2456297,303614,984467,1092669,0.6198
2025-11-30,4242,2024,D1,35097011,30589519,11812199,3882455,2870062,7775094,0.6262
2025-11-30,4242,2024,D2,13247673,11539535,5905835,1419961,2169713,1429224,0.6656
2025-11-30,4242,2024,E1,15013844,13853867,5440284,1627872,2864910,1859899,0.6714
2025-11-30,4242,2025,A1,4447257,3930223,1771283,485353,695068,705599,0.6096
2025-11-30,4242,2025,A2,38423040,33744512,18024937,3722200,5421517,4403201,0.6454
2025-11-30,4242,2025,D1,24704253,22432409,11112033,2651073,3980695,4165875,0.6505
2025-11-30,4242,2025,D2,13985349,12505536,5118877,1460799,1357826,3085919,0.6154
2025-11-30,4242,2025,E1,16130189,13725391,6969869,1435835,2526831,4004684,0.6471
2025-11-30,5000,2018,A1,12905634,12238026,4854554,718881,966255,1978918,0.5753
2025-11-30,5000,2018,A2,34801263,29763683,13877834,2704566,4230227,8542284,0.5359
2025-11-30,5000,2018,D1,30111578,25952574,9406179,1822885,3757687,3790236,0.549
2025-11-30,5000,2018,D2,28190764,26756316,12027879,1643088,3757877,6278908,0.6552
2025-11-30,5000,2018,E1,28642358,26216910,8905868,1462593,2144203,4966091,0.555
2025-11-30,5000,2019,A1,37208642,33810936,15131709,2594595,4965542,4248593,0.545
2025-11-30,5000,2019,A2,15153186,14395457,5775732,959995,1245855,2254556,0.5768
2025-11-30,5000,2019,D1,39071757,36387011,9565590,2845105,4543470,8667265,0.537
2025-11-30,5000,2019,D2,35786925,33414766,11225234,2970717,4354815,7623553,0.5128
2025-11-30,5000,2019,E1,16922657,15903240,5914109,1641106,1787475,3100370,0.6931
