reporting_period,Syndicate_Number,Managing_Agent,Capacity_GBP,Gross_Written_Premium,Net_Written_Premium,Ultimate_Loss_Ratio,Combined_Ratio,Solvency_Ratio
2025-11-30,2987,Managing Agent 2987,196585351,177371121,123616021,0.5872,0.9368,1.3721
2025-11-30,33,Managing Agent 33,299533601,237527471,219814040,0.5745,0.9478,1.2087
2025-11-30,1183,Managing Agent 1183,276560408,208372533,185362062,0.6143,0.9349,1.253
2025-11-30,2791,Managing Agent 2791,252264242,214538245,166034952,0.5706,0.9417,1.6863
2025-11-30,623,Managing Agent 623,460425587,330910654,353514400,0.6344,1.0134,1.4542
2025-11-30,4242,Managing Agent 4242,271863875,203772197,139982144,0.6488,0.907,1.4195
2025-11-30,5000,Managing Agent 5000,164026703,119907320,90434797,0.6154,0.9574,1.6611
2025-11-30,1910,Managing Agent 1910,253028030,178247891,185973499,0.6652,0.9007,1.5694
2025-11-30,2010,Managing Agent 2010,170361252,155098709,105767631,0.7292,1.0377,1.2313
2025-11-30,2525,Managing Agent 2525,446161303,314127928,285975120,0.716,0.9623,1.4408
