reporting_period,Syndicate_Number,Return_Type,Status,Managing_Agent,Reporting_Year,Submission_Date
2025-11-30,2987,RRQ,Approved,Managing Agent 2987,2025,2025-11-28
2025-11-30,33,RRQ,Draft,Managing Agent 33,2025,2025-11-28
2025-11-30,1183,RRQ,Draft,Managing Agent 1183,2025,2025-11-28
2025-11-30,2791,RRQ,Approved,Managing Agent 2791,2025,2025-11-28
2025-11-30,623,RRQ,Submitted,Managing Agent 623,2025,2025-11-28
2025-11-30,4242,RRQ,Draft,Managing Agent 4242,2025,2025-11-28
2025-11-30,5000,RRQ,Draft,Managing Agent 5000,2025,2025-11-28
2025-11-30,1910,RRQ,Draft,Managing Agent 1910,2025,2025-11-28
2025-11-30,2010,RRQ,Approved,Managing Agent 2010,2025,2025-11-28
2025-11-30,2525,RRQ,Draft,Managing Agent 2525,2025,2025-11-28
