reporting_period,Syndicate_Number,Year_of_Account,LOB_Code,LOB_Name,Gross_Written_Premium,Gross_Earned_Premium,Paid_Claims,Case_Reserves,IBNR_Best_Estimate,IBNR_High,IBNR_Low,Ultimate_Loss_Ratio
2025-11-30,2987,2018,A1,Direct Accident & Health,37757365,33646661,8945926,2727530,4601636,7370346,4360401,0.5726
2025-11-30,2987,2018,A2,Accident & Health Reinsurance,43698259,38122295,20848780,5686783,7705864,10250858,5851377,0.6948
2025-11-30,2987,2018,D1,Direct Motor (Private Car),34047931,29787094,11702714,3894429,5273171,8545013,4268983,0.6823
2025-11-30,2987,2018,D2,Direct Motor (Commercial),46131963,42180293,11568608,4784077,8290012,9674610,2878185,0.5609
2025-11-30,2987,2018,E1,Energy Offshore,37993936,33552045,11280317,3516132,6068916,6433575,5193141,0.6141
2025-11-30,2987,2019,A1,Direct Accident & Health,10290231,9571212,3529621,1226177,1581198,1477692,1153179,0.6418
2025-11-30,2987,2019,A2,Accident & Health Reinsurance,48847120,43490738,11106467,4188687,8522360,9689788,6610502,0.5536
2025-11-30,2987,2019,D1,Direct Motor (Private Car),47784459,43045854,13488534,4879445,9927510,7959864,3156910,0.6109
2025-11-30,2987,2019,D2,Direct Motor (Commercial),19959781,17628423,9042692,2295667,4208826,3912207,2408800,0.7189
2025-11-30,2987,2019,E1,Energy Offshore,11538887,10063925,4068859,1481973,2776946,2092685,1443985,0.7019
2025-11-30,2987,2020,A1,Direct Accident & Health,12135164,10514094,3000081,1164963,1997036,1502245,1300279,0.5592
2025-11-30,2987,2020,A2,Accident & Health Reinsurance,17585824,16446604,4691789,1842231,1899383,2701792,2156416,0.5741
2025-11-30,2987,2020,D1,Direct Motor (Private Car),8120586,7582569,3443294,1058196,1433707,1980619,1453578,0.7353
2025-11-30,2987,2020,D2,Direct Motor (Commercial),14035269,11936066,6472502,1619236,2466157,3304973,2487982,0.7428
2025-11-30,2987,2020,E1,Energy Offshore,16891854,14651403,7494927,1283183,3273258,3735202,1724120,0.6884
2025-11-30,2987,2021,A1,Direct Accident & Health,30814272,28068700,11868244,2437563,4483125,5244674,2814495,0.6337
2025-11-30,2987,2021,A2,Accident & Health Reinsurance,13950432,12698414,5366253,1218648,2567485,2494528,1185263,0.5776
