reporting_period,Syndicate_Number,Forecast_Year,Loss_Ratio,Expense_Ratio,Combined_Ratio,Target_Combined_Ratio
2025-11-30,2987,2024,0.6882,0.3033,0.9915,0.9665
2025-11-30,2987,2025,0.6841,0.3396,1.0237,0.9366
2025-11-30,2987,2026,0.7173,0.3788,1.096,0.9524
2025-11-30,33,2024,0.6857,0.291,0.9767,0.972
2025-11-30,33,2025,0.5724,0.3158,0.8882,0.9673
2025-11-30,33,2026,0.6501,0.2816,0.9317,0.9359
2025-11-30,1183,2024,0.5715,0.3221,0.8936,0.9268
2025-11-30,1183,2025,0.5608,0.3248,0.8856,0.9417
2025-11-30,1183,2026,0.6509,0.3252,0.9761,0.9333
2025-11-30,2791,2024,0.6546,0.3527,1.0073,0.9745
2025-11-30,2791,2025,0.662,0.3102,0.9722,0.9586
2025-11-30,2791,2026,0.5553,0.3799,0.9352,0.9708
2025-11-30,623,2024,0.6225,0.2908,0.9133,0.9627
2025-11-30,623,2025,0.6254,0.3699,0.9953,0.9393
2025-11-30,623,2026,0.5752,0.2926,0.8678,0.9575
2025-11-30,4242,2024,0.6495,0.3512,1.0007,0.9429
2025-11-30,4242,2025,0.6516,0.3095,0.961,0.9503
2025-11-30,4242,2026,0.6231,0.3593,0.9824,0.9269
2025-11-30,5000,2024,0.6613,0.3678,1.0291,0.9531
2025-11-30,5000,2025,0.6971,0.323,1.0201,0.9733
2025-11-30,5000,2026,0.6203,0.3627,0.9831,0.9439
2025-11-30,1910,2024,0.674,0.3113,0.9853,0.9388
2025-11-30,1910,2025,0.5933,0.3754,0.9687,0.9612
2025-11-30,1910,2026,0.6306,0.2891,0.9197,0.9251
2025-11-30,2010,2024,0.6234,0.3545,0.9779,0.9424
2025-11-30,2010,2025,0.5721,0.286,0.8581,0.9774
2025-11-30,2010,2026,0.6455,0.347,0.9925,0.9446
2025-11-30,2525,2024,0.6985,0.3741,1.0726,0.9454
2025-11-30,2525,2025,0.7057,0.2851,0.9908,0.9373
2025-11-30,2525,2026,0.6031,0.2904,0.8935,0.9504
