reporting_period,Syndicate_Number,Forecast_Year,Gross_Written_Premium,Net_Earned_Premium,Claims_Incurred,Acquisition_Costs,Operating_Expenses,Investment_Income,Underwriting_Result
2025-11-30,2987,2024,443289651,354631720,231515207,121530096,39805493,15154361,-13077472
2025-11-30,2987,2025,497642966,398114372,337618860,103855043,48210094,15374140,-3121418
2025-11-30,2987,2026,371310554,297048443,230362458,95101732,40339469,18951597,12588899
2025-11-30,33,2024,341167269,272933815,210791267,95848571,27382068,18482592,30578098
2025-11-30,33,2025,282670606,226136484,157044515,62620408,31246342,9346873,7345325
2025-11-30,33,2026,292725585,234180468,195979449,76217722,32868730,15190102,16757257
2025-11-30,1183,2024,303224098,242579278,156390872,69534691,31882677,17151432,6770086
2025-11-30,1183,2025,203234149,162587319,130255686,41578137,18111400,7861429,-6918416
2025-11-30,1183,2026,224978655,179982924,151477393,53547759,22078597,12379070,-3930192
2025-11-30,2791,2024,290734506,232587604,157549437,65908867,34151472,14374222,20882355
2025-11-30,2791,2025,191879360,153503488,116437763,43073288,18898276,7310303,25918725
2025-11-30,2791,2026,469454136,375563308,287019540,126030326,53383543,25012515,-1967193
2025-11-30,623,2024,117233684,93786947,77492539,28149739,9689076,6728519,7436837
2025-11-30,623,2025,485427289,388341831,273264290,128902239,46516203,27881209,20276477
2025-11-30,623,2026,242206459,193765167,127867102,66485406,24598267,12694140,8643565
2025-11-30,4242,2024,413281854,330625483,239653923,91720499,49553115,18715794,-13149850
2025-11-30,4242,2025,125295410,100236328,84226153,26974113,10825433,6316697,8680692
2025-11-30,4242,2026,306570376,245256300,176683821,91852205,31014061,18128227,37449392
2025-11-30,5000,2024,106163826,84931060,67526210,22448890,12250407,5576396,11011285
2025-11-30,5000,2025,282630317,226104253,147620763,68813847,27739868,16566228,35377002
2025-11-30,5000,2026,241405916,193124732,167626865,66675401,24214767,8012823,18119937
2025-11-30,1910,2024,443033396,354426716,266499020,97419105,42068924,15438150,62334776
2025-11-30,1910,2025,384731459,307785167,263040397,99989574,38297796,12833114,8693451
2025-11-30,1910,2026,265095391,212076312,145243236,59404473,27223779,8579205,25550296
2025-11-30,2010,2024,137158185,109726548,95406808,34738138,11662618,6829452,19115700
2025-11-30,2010,2025,188651861,150921488,104326615,54188983,18285179,6858239,10915249
2025-11-30,2010,2026,491878757,393503005,313805625,133444196,47200534,24668019,12141584
2025-11-30,2525,2024,377871414,302297131,223056448,84941927,31197455,11574589,22968651
2025-11-30,2525,2025,415916382,332733105,226276594,86135995,43772752,15334110,54519984
2025-11-30,2525,2026,277397447,221917957,142629853,62081677,29614704,10104785,-6529278
