reporting_period,Syndicate_Number,Forecast_Year,LOB_Code,Gross_Written_Premium,Growth_Rate,Rate_Change
2025-11-30,2987,2024,A1,86644106,0.0941,0.0092
2025-11-30,2987,2024,A2,73481353,0.1519,0.0028
2025-11-30,2987,2024,D1,23009833,0.1147,0.0225
2025-11-30,2987,2024,D2,65177213,0.0668,0.0675
2025-11-30,2987,2024,E1,97705310,0.196,-0.0082
2025-11-30,2987,2025,A1,64038913,0.1321,0.0761
2025-11-30,2987,2025,A2,24665841,0.0122,0.0028
2025-11-30,2987,2025,D1,70211891,-0.015,0.002
2025-11-30,2987,2025,D2,72092888,0.0125,0.0908
2025-11-30,2987,2025,E1,69476001,0.152,0.0827
2025-11-30,2987,2026,A1,23141087,-0.0374,0.0999
2025-11-30,2987,2026,A2,11980765,0.1922,0.0912
2025-11-30,2987,2026,D1,41726318,-0.0084,0.0383
2025-11-30,2987,2026,D2,38688676,0.1662,0.0883
2025-11-30,2987,2026,E1,32097220,0.0447,0.0982
2025-11-30,33,2024,A1,45594951,0.1816,0.0742
2025-11-30,33,2024,A2,48285503,0.0558,0.0949
2025-11-30,33,2024,D1,84593961,0.1155,0.0384
2025-11-30,33,2024,D2,35487660,0.0242,0.0962
2025-11-30,33,2024,E1,87736262,0.1339,-0.0127
2025-11-30,33,2025,A1,52091325,-0.0357,0.0501
2025-11-30,33,2025,A2,77491435,0.1798,0.0437
2025-11-30,33,2025,D1,17634247,0.1902,-0.0104
2025-11-30,33,2025,D2,34941004,-0.0329,-0.0118
2025-11-30,33,2025,E1,41568532,0.0509,0.093
2025-11-30,33,2026,A1,86460539,0.0116,0.0513
2025-11-30,33,2026,A2,93131979,-0.0295,0.0589
2025-11-30,33,2026,D1,85863473,0.0807,0.0922
2025-11-30,33,2026,D2,37415205,0.1174,0.0177
2025-11-30,33,2026,E1,45650176,0.0489,0.0606
2025-11-30,1183,2024,A1,50264926,0.0643,0.0915
2025-11-30,1183,2024,A2,19736572,-0.0477,0.0545
2025-11-30,1183,2024,D1,85563727,0.199,-0.0112
2025-11-30,1183,2024,D2,38609087,0.0765,-0.0041
2025-11-30,1183,2024,E1,56843172,0.1702,0.0855
2025-11-30,1183,2025,A1,59597086,0.0212,0.0326
2025-11-30,1183,2025,A2,82909480,0.1259,0.0534
2025-11-30,1183,2025,D1,97775215,0.0822,0.0601
2025-11-30,1183,2025,D2,84437458,0.0248,0.0596
2025-11-30,1183,2025,E1,28024248,0.0161,0.0868
2025-11-30,1183,2026,A1,84252420,-0.0111,0.0138
2025-11-30,1183,2026,A2,38270233,0.1294,0.0044
2025-11-30,1183,2026,D1,95125977,0.1632,0.0406
2025-11-30,1183,2026,D2,43704923,0.1763,0.0815
2025-11-30,1183,2026,E1,22388090,0.1086,0.0795
2025-11-30,2791,2024,A1,15917225,-0.0491,0.0725
2025-11-30,2791,2024,A2,95511909,0.1949,-0.0006
2025-11-30,2791,2024,D1,69302158,0.0879,0.0313
2025-11-30,2791,2024,D2,11297845,-0.022,0.0934
2025-11-30,2791,2024,E1,30005727,0.0864,0.0802
2025-11-30,2791,2025,A1,88183110,0.0881,0.0316
2025-11-30,2791,2025,A2,15614174,0.0271,0.0879
2025-11-30,2791,2025,D1,15354599,0.1747,0.0052
2025-11-30,2791,2025,D2,43491314,0.1167,0.0224
2025-11-30,2791,2025,E1,85146293,0.171,0.0288
2025-11-30,2791,2026,A1,93303777,0.1374,0.0911
2025-11-30,2791,2026,A2,41774346,0.1662,0.0971
2025-11-30,2791,2026,D1,33763566,0.1704,-0.017
2025-11-30,2791,2026,D2,54585178,0.1456,0.0294
2025-11-30,2791,2026,E1,99913412,0.166,0.0773
2025-11-30,623,2024,A1,45810056,-0.0102,0.0642
2025-11-30,623,2024,A2,61343880,0.168,0.083
2025-11-30,623,2024,D1,39854548,-0.0001,0.0902
2025-11-30,623,2024,D2,56930359,0.0263,0.0754
2025-11-30,623,2024,E1,40547349,0.0057,0.0592
2025-11-30,623,2025,A1,63481198,0.0321,0.0837
2025-11-30,623,2025,A2,47463522,0.0378,0.0411
2025-11-30,623,2025,D1,81969657,0.0328,-0.0167
2025-11-30,623,2025,D2,45059710,-0.0054,0.0955
2025-11-30,623,2025,E1,45630292,-0.0404,0.0516
2025-11-30,623,2026,A1,56397338,0.1321,0.0176
2025-11-30,623,2026,A2,91363974,0.1961,-0.0061
2025-11-30,623,2026,D1,87388337,-0.0025,-0.0147
2025-11-30,623,2026,D2,68526649,-0.0496,0.0911
2025-11-30,623,2026,E1,82269803,0.1217,0.0928
2025-11-30,4242,2024,A1,36445607,0.0411,-0.0116
2025-11-30,4242,2024,A2,99152472,0.1802,0.0548
2025-11-30,4242,2024,D1,99038359,0.162,0.0664
2025-11-30,4242,2024,D2,50308572,0.0768,0.06
2025-11-30,4242,2024,E1,53779528,0.0506,0.0155
2025-11-30,4242,2025,A1,27084279,-0.002,0.0598
2025-11-30,4242,2025,A2,60888017,0.1193,0.0883
2025-11-30,4242,2025,D1,92613013,0.0923,0.0287
2025-11-30,4242,2025,D2,10054484,0.026,0.0052
2025-11-30,4242,2025,E1,87844239,0.1017,0.0187
2025-11-30,4242,2026,A1,69295515,0.0605,0.0056
2025-11-30,4242,2026,A2,73509974,0.1484,0.0952
2025-11-30,4242,2026,D1,32775593,0.1147,0.0141
2025-11-30,4242,2026,D2,99100953,0.1082,0.0202
2025-11-30,4242,2026,E1,41523529,0.1182,0.007
2025-11-30,5000,2024,A1,36726767,-0.0132,-0.0145
2025-11-30,5000,2024,A2,73771720,0.1028,0.0722
2025-11-30,5000,2024,D1,71124923,0.0536,0.0556
2025-11-30,5000,2024,D2,36096655,0.1296,0.0261
2025-11-30,5000,2024,E1,63640499,0.011,0.0587
2025-11-30,5000,2025,A1,10744212,0.1732,0.0833
2025-11-30,5000,2025,A2,24305904,0.1446,0.0063
2025-11-30,5000,2025,D1,79519112,0.0661,0.0469
2025-11-30,5000,2025,D2,26288475,0.0641,0.0762
2025-11-30,5000,2025,E1,99600766,0.0828,0.0471
2025-11-30,5000,2026,A1,52587010,0.1875,0.087
2025-11-30,5000,2026,A2,92228802,0.1538,0.087
2025-11-30,5000,2026,D1,67276174,0.1576,0.0457
2025-11-30,5000,2026,D2,31361812,0.1359,0.037
2025-11-30,5000,2026,E1,44788100,0.1379,0.0808
2025-11-30,1910,2024,A1,47220099,0.1415,0.0426
2025-11-30,1910,2024,A2,94120751,0.0098,0.0328
2025-11-30,1910,2024,D1,48349783,0.0086,0.0203
2025-11-30,1910,2024,D2,82498004,-0.0299,-0.0019
2025-11-30,1910,2024,E1,61410126,0.1235,0.0648
2025-11-30,1910,2025,A1,18620650,0.0537,0.0197
2025-11-30,1910,2025,A2,72535301,0.0539,0.0048
2025-11-30,1910,2025,D1,66390708,0.0474,0.0724
2025-11-30,1910,2025,D2,12621534,0.1642,0.0719
2025-11-30,1910,2025,E1,61053877,0.0692,0.0931
2025-11-30,1910,2026,A1,50079111,0.1384,0.0824
2025-11-30,1910,2026,A2,66240084,0.0846,0.0682
2025-11-30,1910,2026,D1,90967191,0.1745,0.0386
2025-11-30,1910,2026,D2,46632757,0.059,-0.0165
2025-11-30,1910,2026,E1,55114543,0.1172,0.0758
2025-11-30,2010,2024,A1,32151928,0.1601,0.0903
2025-11-30,2010,2024,A2,93517915,0.0835,0.0888
2025-11-30,2010,2024,D1,89442503,0.0911,-0.0167
2025-11-30,2010,2024,D2,96268397,0.0572,0.084
2025-11-30,2010,2024,E1,34391257,-0.0374,0.0255
2025-11-30,2010,2025,A1,38408562,0.0637,0.0205
2025-11-30,2010,2025,A2,60885459,0.0196,0.0941
2025-11-30,2010,2025,D1,66581473,0.0131,-0.0102
2025-11-30,2010,2025,D2,12601580,0.1373,-0.0137
2025-11-30,2010,2025,E1,56970882,0.0061,-0.0118
2025-11-30,2010,2026,A1,97477029,-0.0399,-0.0163
2025-11-30,2010,2026,A2,43189803,-0.0002,-0.0176
2025-11-30,2010,2026,D1,30452412,0.0096,0.0368
2025-11-30,2010,2026,D2,25353091,0.091,0.0062
2025-11-30,2010,2026,E1,44392446,0.1417,0.0001
2025-11-30,2525,2024,A1,91503378,0.1909,0.0662
2025-11-30,2525,2024,A2,31980274,0.1912,-0.007
2025-11-30,2525,2024,D1,13446499,0.1822,0.0491
2025-11-30,2525,2024,D2,60372847,0.0492,0.0658
2025-11-30,2525,2024,E1,20200074,0.098,0.0797
2025-11-30,2525,2025,A1,42594692,-0.0245,0.0727
2025-11-30,2525,2025,A2,90585882,0.1514,0.0755
2025-11-30,2525,2025,D1,85958181,0.1457,0.0217
2025-11-30,2525,2025,D2,67495923,0.1154,-0.0117
2025-11-30,2525,2025,E1,96911784,0.0353,0.0819
2025-11-30,2525,2026,A1,75793759,-0.0236,0.0953
2025-11-30,2525,2026,A2,95306788,0.1729,0.0352
2025-11-30,2525,2026,D1,30534124,0.0589,0.0681
2025-11-30,2525,2026,D2,97302916,0.0175,0.077
2025-11-30,2525,2026,E1,82232344,0.1437,0.0358
