Type,Number,Period,Task Name,Template URL,Instructions URL
RRA,010,YE,RRA 010 - Syndicate Details,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/a6aad893-5cbd-4b4c-9d41-a3f0f7580626/RRA-Return-Instructions-June-2024.pdf
RRA,020,YE,RRA 020 - Exchange Rates,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/a6aad893-5cbd-4b4c-9d41-a3f0f7580626/RRA-Return-Instructions-June-2024.pdf
RRA,030,YE,RRA 030 - Premium Summary,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/a6aad893-5cbd-4b4c-9d41-a3f0f7580626/RRA-Return-Instructions-June-2024.pdf
RRA,071,YE,RRA 071 - SCOB Mapping,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/a6aad893-5cbd-4b4c-9d41-a3f0f7580626/RRA-Return-Instructions-June-2024.pdf
RRA,081,YE,RRA 081 - Reserving Class Definitions,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/a6aad893-5cbd-4b4c-9d41-a3f0f7580626/RRA-Return-Instructions-June-2024.pdf
RRA,091,YE,RRA 091 - LPT Data,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/a6aad893-5cbd-4b4c-9d41-a3f0f7580626/RRA-Return-Instructions-June-2024.pdf
RRA,193,YE,RRA 193 - Premium Analysis,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/a6aad893-5cbd-4b4c-9d41-a3f0f7580626/RRA-Return-Instructions-June-2024.pdf
RRA,291,YE,RRA 291 - Claims Development Gross,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/a6aad893-5cbd-4b4c-9d41-a3f0f7580626/RRA-Return-Instructions-June-2024.pdf
RRA,292,YE,RRA 292 - Claims Development Net,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/a6aad893-5cbd-4b4c-9d41-a3f0f7580626/RRA-Return-Instructions-June-2024.pdf
RRA,293,YE,RRA 293 - Outstanding & IBNR by PYoA,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/a6aad893-5cbd-4b4c-9d41-a3f0f7580626/RRA-Return-Instructions-June-2024.pdf
RRA,294,YE,RRA 294 - Catastrophe IBNR,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/a6aad893-5cbd-4b4c-9d41-a3f0f7580626/RRA-Return-Instructions-June-2024.pdf
