reporting_period,Asset_ID,Syndicate_Number,Reporting_Date,Quarter,Asset_Type,Asset_Category,Currency,ISIN,Issuer,Market_Value,Book_Value,Accrued_Interest,Credit_Rating,Duration,Yield
2025-11-30,AST00000002,2987,2024-03-30,2024-Q1,Liquid_Assets,Liquid,JPY,XS6796893641,Issuer_38,59265791.36,56303099.88,564413.05,BBB,8.65,0.0426
2025-11-30,AST00000004,2987,2024-03-30,2024-Q1,Illiquid_Assets,Illiquid,EUR,XS2213070789,Issuer_4,24709975.72,24769491.57,546069.69,A,5.9,0.043
2025-11-30,AST00000005,2987,2024-03-30,2024-Q1,Illiquid_Assets,Illiquid,CAD,XS4605272926,Issuer_85,24709975.72,25172896.1,506644.01,AA,9.58,0.0695
2025-11-30,AST00000007,2987,2024-03-30,2024-Q1,Restricted_Assets,Illiquid,GBP,XS9154795053,Issuer_28,27690258.58,26585031.02,264396.29,AAA,9.72,0.0199
2025-11-30,AST00000008,2987,2024-03-30,2024-Q1,Restricted_Assets,Illiquid,USD,XS4395858343,Issuer_4,41535387.87,43301725.33,119152.51,BB,6.29,0.0163
2025-11-30,AST00000009,2987,2024-03-30,2024-Q1,Restricted_Assets,Illiquid,CAD,XS9318872169,Issuer_81,27690258.58,28398786.16,212631.34,BBB,5.16,0.0635
2025-11-30,AST00000011,2987,2024-03-30,2024-Q1,Bonds_Government,Liquid,CAD,XS4501601646,Issuer_27,38369450.04,39857426.13,428425.19,AA,3.6,0.0335
2025-11-30,AST00000012,2987,2024-03-30,2024-Q1,Bonds_Government,Liquid,EUR,XS7260792962,Issuer_39,76738900.08,73095660.73,1456410.79,BB,8.06,0.0346
2025-11-30,AST00000014,2987,2024-03-30,2024-Q1,Bonds_Corporate,Illiquid,JPY,XS7682288846,Issuer_34,53149322.8,55638870.22,32705.97,BB,8.3,0.0555
2025-11-30,AST00000015,2987,2024-03-30,2024-Q1,Bonds_Corporate,Illiquid,CAD,XS8045313207,Issuer_83,53149322.8,54880813.39,734455.89,BB,4.02,0.0771
2025-11-30,AST00000016,2987,2024-03-30,2024-Q1,Bonds_Corporate,Illiquid,AUD,XS9309785779,Issuer_19,26574661.4,27398575.45,587436.59,AAA,8.99,0.0708
2025-11-30,AST00000018,2987,2024-03-30,2024-Q1,Bonds_Structured_Notes,Illiquid,EUR,XS1872479575,Issuer_91,6800592.88,6742674.9,194719.02,AAA,7.34,0.0363
