Transaction_ID,Claim_Reference,Syndicate_Number,Year_of_Account,Risk_Code,Currency,Status,Transaction_Type,Transaction_Date,Loss_Date,Report_Date,Amount,Outstanding_Amount,Incurred_Amount,LOB_Code,Country,Claim_Type,Reinsurance_Recovery
TXN00000001,CLM126225,33,2022,4,USD,Open,Payment,2023-03-26,2022-04-18,2022-05-09,19264.34,396123,724570,D2,US,Gross,2797.79
TXN00000002,CLM126225,33,2022,4,USD,Open,Payment,2023-04-04,2022-04-19,2022-04-21,39471.66,0,0,A1,GB,Gross,317.48
TXN00000003,CLM191161,2010,2024,1,GBP,Open,Payment,2024-11-16,2024-05-17,2024-06-27,36643.35,124629,544903,A1,US,Gross,2919.06
TXN00000004,CLM191161,2010,2024,1,GBP,Open,Payment,2025-05-22,2024-03-19,2024-04-21,11133.9,0,0,E1,FR,Gross,723.75
TXN00000005,CLM191161,2010,2024,1,GBP,Open,Payment,2025-10-29,2024-03-28,2024-03-31,19221.9,0,0,E1,GB,Gross,4202.5
TXN00000006,CLM191161,2010,2024,1,GBP,Open,Payment,2025-12-13,2024-03-13,2024-05-13,59981.85,0,0,D2,DE,Gross,17193.12
TXN00000007,CLM127824,2525,2026,4,JPY,Reopened,Payment,2028-08-24,2026-10-18,2026-11-09,96327.03,377696,454898,A1,FR,Gross,19836.71
TXN00000008,CLM127824,2525,2026,4,JPY,Reopened,Payment,2027-08-06,2026-07-05,2026-08-16,45011.75,0,0,E1,FR,Gross,13326.95
TXN00000009,CLM127824,2525,2026,4,JPY,Reopened,Payment,2027-08-20,2026-10-06,2026-12-24,17939.39,0,0,E1,GB,Gross,2436.74
TXN00000010,CLM127824,2525,2026,4,JPY,Reopened,Payment,2027-12-19,2026-12-21,2027-02-18,131427.83,0,0,A1,JP,Gross,8882.15
TXN00000011,CLM571029,2791,2022,1,CHF,Open,Payment,2023-07-15,2022-05-16,2022-07-07,26045.91,376026,371778,D2,US,Gross,6528.0
TXN00000012,CLM571029,2791,2022,1,CHF,Open,Payment,2024-01-29,2022-02-26,2022-04-09,44075.01,0,0,A1,GB,Gross,2885.83
TXN00000013,CLM571029,2791,2022,1,CHF,Open,Payment,2024-03-03,2022-03-25,2022-05-30,156450.08,0,0,D2,FR,Gross,383.87
TXN00000014,CLM263032,623,2021,6,GBP,Open,Payment,2022-04-20,2021-07-01,2021-09-01,55707.0,209191,391417,D2,GB,Gross,15855.73
TXN00000015,CLM733052,4242,2022,1,JPY,Closed,Payment,2025-03-28,2022-08-20,2022-11-06,70444.0,291137,411922,D2,DE,Gross,14856.83
TXN00000016,CLM678856,33,2022,6,AUD,Open,Payment,2024-06-08,2022-06-02,2022-08-25,6385.72,379398,63050,A2,FR,Gross,1051.24
TXN00000017,CLM678856,33,2022,6,AUD,Open,Payment,2023-04-19,2022-09-16,2022-09-28,7099.4,0,0,E1,JP,Gross,1624.32
TXN00000018,CLM678856,33,2022,6,AUD,Open,Payment,2024-11-26,2022-05-21,2022-06-29,10697.29,0,0,D1,GB,Gross,1906.49
TXN00000019,CLM678856,33,2022,6,AUD,Open,Payment,2023-03-01,2022-11-25,2022-12-01,17283.59,0,0,E1,US,Gross,1608.34
TXN00000020,CLM910620,2791,2022,2,CHF,Open,Payment,2024-11-26,2022-12-19,2022-12-25,14036.65,464286,413591,D1,GB,Gross,3997.35
TXN00000021,CLM910620,2791,2022,2,CHF,Open,Payment,2025-05-03,2022-08-02,2022-10-24,9313.91,0,0,D2,DE,Gross,1244.03
TXN00000022,CLM910620,2791,2022,2,CHF,Open,Payment,2024-12-25,2022-10-01,2022-12-28,34602.44,0,0,A1,FR,Gross,3941.02
TXN00000023,CLM575435,623,2023,3,EUR,Closed,Payment,2024-05-29,2023-08-28,2023-10-25,39475.26,119842,750911,E1,FR,Gross,3677.15
TXN00000024,CLM575435,623,2023,3,EUR,Closed,Payment,2025-02-25,2023-09-06,2023-09-15,21944.15,0,0,E1,FR,Gross,6544.08
TXN00000025,CLM575435,623,2023,3,EUR,Closed,Payment,2025-02-13,2023-02-04,2023-03-11,10163.48,0,0,E1,JP,Gross,1517.67
TXN00000026,CLM575435,623,2023,3,EUR,Closed,Payment,2024-12-25,2023-12-01,2024-01-27,73390.1,0,0,D1,FR,Gross,8407.57
TXN00000027,CLM738720,33,2020,9,JPY,Open,Payment,2023-07-14,2020-08-24,2020-09-30,247357.0,95669,412887,D1,GB,Gross,1278.82
TXN00000028,CLM771088,623,2026,4,JPY,Closed,Payment,2028-05-14,2026-07-15,2026-10-08,7764.72,451897,255174,A2,DE,Gross,65.58
TXN00000029,CLM771088,623,2026,4,JPY,Closed,Payment,2028-05-11,2026-06-13,2026-09-09,3362.24,0,0,D2,US,Gross,595.28
TXN00000030,CLM771088,623,2026,4,JPY,Closed,Payment,2028-04-26,2026-05-19,2026-07-15,6596.0,0,0,D2,US,Gross,1592.37
TXN00000031,CLM771088,623,2026,4,JPY,Closed,Payment,2028-03-11,2026-05-13,2026-07-22,16604.05,0,0,A1,DE,Gross,1648.18
TXN00000032,CLM944151,2987,2023,7,EUR,Open,Payment,2024-02-25,2023-04-25,2023-06-08,26027.9,120615,237955,D2,JP,Gross,5689.5
TXN00000033,CLM944151,2987,2023,7,EUR,Open,Payment,2026-02-20,2023-08-15,2023-11-06,25217.56,0,0,A1,DE,Gross,2929.54
TXN00000034,CLM944151,2987,2023,7,EUR,Open,Payment,2026-03-20,2023-12-08,2024-01-19,118735.53,0,0,D2,US,Gross,17872.99
TXN00000035,CLM514850,1910,2025,3,EUR,Open,Payment,2026-11-23,2025-10-03,2025-10-07,41041.95,139303,580158,D2,JP,Gross,10987.25
TXN00000036,CLM514850,1910,2025,3,EUR,Open,Payment,2025-04-23,2025-03-11,2025-03-25,94041.75,0,0,E1,DE,Gross,12301.54
TXN00000037,CLM514850,1910,2025,3,EUR,Open,Payment,2027-06-25,2025-09-05,2025-10-20,60645.24,0,0,D1,DE,Gross,10364.37
