Year_of_Account,Currency,Exchange_Rate_GBP,Rate_Type,Rate_Date
2018,GBP,1.0177,Average,2018-12-31
2018,GBP,0.9997104676841431,Closing,2018-12-31
2018,USD,1.3198,Average,2018-12-31
2018,USD,1.3391311710877507,Closing,2018-12-31
2018,EUR,1.1217,Average,2018-12-31
2018,EUR,1.1262368283468942,Closing,2018-12-31
2018,CAD,1.7066,Average,2018-12-31
2018,CAD,1.7208038664506693,Closing,2018-12-31
2018,AUD,1.8583,Average,2018-12-31
2018,AUD,1.8226640866299957,Closing,2018-12-31
2018,JPY,183.1963,Average,2018-12-31
2018,JPY,186.63972984998497,Closing,2018-12-31
2019,GBP,1.0005,Average,2019-12-31
2019,GBP,1.013804354484833,Closing,2019-12-31
2019,USD,1.2099,Average,2019-12-31
2019,USD,1.1959783636003858,Closing,2019-12-31
2019,EUR,1.1348,Average,2019-12-31
2019,EUR,1.1203573989114648,Closing,2019-12-31
2019,CAD,1.7458,Average,2019-12-31
2019,CAD,1.723691503732085,Closing,2019-12-31
2019,AUD,1.9588,Average,2019-12-31
2019,AUD,1.9434619882203656,Closing,2019-12-31
2019,JPY,183.2303,Average,2019-12-31
2019,JPY,183.4117451357962,Closing,2019-12-31
2020,GBP,1.0089,Average,2020-12-31
2020,GBP,1.006153573172321,Closing,2020-12-31
2020,USD,1.3093,Average,2020-12-31
2020,USD,1.2983662525304518,Closing,2020-12-31
2020,EUR,1.1123,Average,2020-12-31
2020,EUR,1.1172765589919882,Closing,2020-12-31
2020,CAD,1.7726,Average,2020-12-31
2020,CAD,1.7470386726956724,Closing,2020-12-31
2020,AUD,1.9886,Average,2020-12-31
2020,AUD,1.9720663539230854,Closing,2020-12-31
2020,JPY,185.4887,Average,2020-12-31
2020,JPY,184.49716528168602,Closing,2020-12-31
2021,GBP,0.9655,Average,2021-12-31
2021,GBP,0.9638034227904619,Closing,2021-12-31
2021,USD,1.3281,Average,2021-12-31
2021,USD,1.3432496877730424,Closing,2021-12-31
2021,EUR,1.1509,Average,2021-12-31
2021,EUR,1.1370741822354422,Closing,2021-12-31
2021,CAD,1.65,Average,2021-12-31
2021,CAD,1.6509394729352984,Closing,2021-12-31
2021,AUD,1.8714,Average,2021-12-31
2021,AUD,1.878317784966737,Closing,2021-12-31
2021,JPY,195.0503,Average,2021-12-31
2021,JPY,191.51170067744636,Closing,2021-12-31
2022,GBP,1.0104,Average,2022-12-31
2022,GBP,1.0147465327344485,Closing,2022-12-31
2022,USD,1.309,Average,2022-12-31
2022,USD,1.2917486431162664,Closing,2022-12-31
2022,EUR,1.1969,Average,2022-12-31
2022,EUR,1.1760764100657632,Closing,2022-12-31
2022,CAD,1.7262,Average,2022-12-31
2022,CAD,1.7571946485762682,Closing,2022-12-31
2022,AUD,2.0423,Average,2022-12-31
2022,AUD,2.080338412045927,Closing,2022-12-31
2022,JPY,186.2104,Average,2022-12-31
2022,JPY,188.50747174206822,Closing,2022-12-31
2023,GBP,1.0052,Average,2023-12-31
2023,GBP,0.997343910430923,Closing,2023-12-31
2023,USD,1.3118,Average,2023-12-31
2023,USD,1.290689051166143,Closing,2023-12-31
2023,EUR,1.1839,Average,2023-12-31
2023,EUR,1.1926245392035097,Closing,2023-12-31
2023,CAD,1.7822,Average,2023-12-31
2023,CAD,1.7779335909737086,Closing,2023-12-31
2023,AUD,1.9651,Average,2023-12-31
2023,AUD,1.935390693411739,Closing,2023-12-31
2023,JPY,192.3562,Average,2023-12-31
2023,JPY,192.3190899502698,Closing,2023-12-31
2024,GBP,0.9546,Average,2024-12-31
2024,GBP,0.9368210912902635,Closing,2024-12-31
2024,USD,1.2354,Average,2024-12-31
2024,USD,1.2556269769891253,Closing,2024-12-31
2024,EUR,1.1454,Average,2024-12-31
2024,EUR,1.1343482636369864,Closing,2024-12-31
2024,CAD,1.6477,Average,2024-12-31
2024,CAD,1.6584115187172022,Closing,2024-12-31
2024,AUD,1.8979,Average,2024-12-31
2024,AUD,1.8836058580524035,Closing,2024-12-31
2024,JPY,180.9789,Average,2024-12-31
2024,JPY,181.1241755359175,Closing,2024-12-31
2025,GBP,0.9778,Average,2025-12-31
2025,GBP,0.9796269324456744,Closing,2025-12-31
2025,USD,1.2872,Average,2025-12-31
2025,USD,1.2709737862060981,Closing,2025-12-31
2025,EUR,1.1542,Average,2025-12-31
2025,EUR,1.175879783094634,Closing,2025-12-31
2025,CAD,1.6977,Average,2025-12-31
2025,CAD,1.7163837197688063,Closing,2025-12-31
2025,AUD,1.8934,Average,2025-12-31
2025,AUD,1.9266858918383052,Closing,2025-12-31
2025,JPY,184.1075,Average,2025-12-31
2025,JPY,187.01512705675435,Closing,2025-12-31
2026,GBP,1.0437,Average,2026-12-31
2026,GBP,1.0477871283154052,Closing,2026-12-31
2026,USD,1.2888,Average,2026-12-31
2026,USD,1.3105484605639117,Closing,2026-12-31
2026,EUR,1.1828,Average,2026-12-31
2026,EUR,1.1633307572570806,Closing,2026-12-31
2026,CAD,1.6634,Average,2026-12-31
2026,CAD,1.6431719157339202,Closing,2026-12-31
2026,AUD,1.9947,Average,2026-12-31
2026,AUD,1.958414594927594,Closing,2026-12-31
2026,JPY,182.1551,Average,2026-12-31
2026,JPY,180.88242115732862,Closing,2026-12-31
