reporting_period,Policy_ID,Syndicate_Number,Year_of_Account,LOB_Code,LOB_Name,Currency,Inception_Date,Expiry_Date,Gross_Written_Premium,Net_Written_Premium,Broker,Country,Risk_Code
2025-11-30,POL000001,33,2025,E1,Energy Offshore,USD,2025-09-28,2026-09-28,3039100.9,2337067.97,Broker_29,CA,1
2025-11-30,POL000002,2010,2025,A1,Direct Accident & Health,GBP,2025-12-08,2026-12-08,37555.36,33944.99,Broker_17,DE,3
2025-11-30,POL000003,2987,2022,D1,Direct Motor (Private Car),USD,2022-07-26,2023-07-26,588186.61,538647.09,Broker_8,FR,2
2025-11-30,POL000004,2987,2020,E1,Energy Offshore,CAD,2020-08-22,2021-08-22,4437191.59,3629861.13,Broker_37,CA,3
2025-11-30,POL000005,2987,2024,E1,Energy Offshore,CHF,2024-07-27,2025-07-27,2618436.82,2112778.06,Broker_42,FR,3
2025-11-30,POL000006,5000,2021,A1,Direct Accident & Health,AUD,2021-04-05,2022-04-05,1253968.22,1006429.54,Broker_43,JP,4
2025-11-30,POL000007,5000,2020,D1,Direct Motor (Private Car),JPY,2020-12-02,2021-12-02,3125526.7,2418871.43,Broker_6,FR,4
2025-11-30,POL000008,2525,2026,D2,Direct Motor (Commercial),CHF,2026-01-01,2027-01-01,1147396.46,925693.01,Broker_13,GB,3
2025-11-30,POL000009,5000,2026,D1,Direct Motor (Private Car),JPY,2026-05-01,2027-05-01,608128.18,477018.05,Broker_15,DE,6
2025-11-30,POL000010,1910,2021,A1,Direct Accident & Health,GBP,2021-01-26,2022-01-26,4812612.0,3671761.03,Broker_2,DE,1
2025-11-30,POL000011,623,2025,A1,Direct Accident & Health,GBP,2025-11-17,2026-11-17,4883308.63,3920121.19,Broker_23,JP,1
2025-11-30,POL000012,2987,2019,D1,Direct Motor (Private Car),AUD,2019-12-26,2020-12-25,4928395.77,3748113.08,Broker_4,CA,8
2025-11-30,POL000013,2987,2021,E1,Energy Offshore,USD,2021-06-22,2022-06-22,2683515.67,1939034.47,Broker_33,GB,6
2025-11-30,POL000014,1183,2021,D2,Direct Motor (Commercial),EUR,2021-10-03,2022-10-03,4049410.22,3187560.06,Broker_7,FR,9
2025-11-30,POL000015,2987,2025,A2,Accident & Health Reinsurance,GBP,2025-11-28,2026-11-28,3678728.44,2767389.33,Broker_31,AU,3
2025-11-30,POL000016,5000,2026,D2,Direct Motor (Commercial),CAD,2026-12-17,2027-12-17,1216842.93,880112.91,Broker_12,JP,5
2025-11-30,POL000017,5000,2026,A1,Direct Accident & Health,EUR,2026-03-16,2027-03-16,4234839.1,3870986.27,Broker_33,FR,1
2025-11-30,POL000018,1910,2023,D2,Direct Motor (Commercial),CAD,2023-03-16,2024-03-15,516343.0,447088.72,Broker_29,US,2
2025-11-30,POL000019,33,2026,D1,Direct Motor (Private Car),CAD,2026-01-04,2027-01-04,1193872.95,932832.54,Broker_20,CA,3
2025-11-30,POL000020,2987,2020,A1,Direct Accident & Health,JPY,2020-07-22,2021-07-22,1227508.32,1157850.46,Broker_45,DE,6
2025-11-30,POL000021,1910,2019,D1,Direct Motor (Private Car),AUD,2019-01-28,2020-01-28,3347931.06,3066845.1,Broker_48,DE,4
2025-11-30,POL000022,1183,2018,A1,Direct Accident & Health,CAD,2018-12-14,2019-12-14,4575173.31,3626006.37,Broker_41,JP,8
2025-11-30,POL000023,2987,2020,E1,Energy Offshore,CAD,2020-01-20,2021-01-19,1479299.97,1177928.74,Broker_23,GB,3
2025-11-30,POL000024,33,2023,A1,Direct Accident & Health,USD,2023-03-08,2024-03-07,361376.49,271838.12,Broker_47,AU,7
2025-11-30,POL000025,33,2019,D1,Direct Motor (Private Car),USD,2019-01-08,2020-01-08,3488108.55,3054261.17,Broker_48,CA,7
2025-11-30,POL000026,2525,2019,D1,Direct Motor (Private Car),GBP,2019-08-13,2020-08-12,417154.96,292549.19,Broker_36,JP,4
2025-11-30,POL000027,2987,2020,D2,Direct Motor (Commercial),CHF,2020-12-02,2021-12-02,478969.88,404523.61,Broker_22,DE,9
2025-11-30,POL000028,2525,2023,E1,Energy Offshore,USD,2023-10-22,2024-10-21,1258754.29,893348.85,Broker_15,AU,5
2025-11-30,POL000029,2987,2022,E1,Energy Offshore,CHF,2022-04-06,2023-04-06,267891.79,223110.64,Broker_47,DE,7
2025-11-30,POL000030,1910,2019,D2,Direct Motor (Commercial),CAD,2019-10-19,2020-10-18,3977979.11,3053926.64,Broker_28,US,7
2025-11-30,POL000031,2525,2022,E1,Energy Offshore,JPY,2022-07-09,2023-07-09,3445614.5,2462058.33,Broker_1,CA,2
2025-11-30,POL000032,4242,2025,A1,Direct Accident & Health,AUD,2025-05-01,2026-05-01,4774777.75,4223167.87,Broker_5,AU,7
2025-11-30,POL000033,1183,2020,D2,Direct Motor (Commercial),AUD,2020-06-25,2021-06-25,1715979.54,1240567.01,Broker_47,GB,4
2025-11-30,POL000034,623,2022,D2,Direct Motor (Commercial),CHF,2022-04-01,2023-04-01,2328722.33,2008391.25,Broker_10,AU,5
2025-11-30,POL000035,2791,2021,A2,Accident & Health Reinsurance,CHF,2021-10-26,2022-10-26,4667847.18,3852187.43,Broker_5,JP,4
2025-11-30,POL000036,1910,2018,A2,Accident & Health Reinsurance,CAD,2018-11-20,2019-11-20,2881616.15,2296770.49,Broker_33,GB,3
2025-11-30,POL000037,623,2020,D2,Direct Motor (Commercial),GBP,2020-01-08,2021-01-07,4527699.7,3391010.66,Broker_13,FR,2
2025-11-30,POL000038,1183,2020,A2,Accident & Health Reinsurance,CHF,2020-01-26,2021-01-25,1601688.4,1459488.62,Broker_26,AU,2
2025-11-30,POL000039,1183,2024,A1,Direct Accident & Health,CAD,2024-10-21,2025-10-21,1748199.66,1633101.75,Broker_36,GB,5
2025-11-30,POL000040,2010,2022,D2,Direct Motor (Commercial),GBP,2022-08-03,2023-08-03,4952620.66,3977719.17,Broker_18,GB,7
2025-11-30,POL000041,1910,2018,E1,Energy Offshore,CHF,2018-07-25,2019-07-25,1198798.4,952364.08,Broker_49,AU,4
2025-11-30,POL000042,2010,2020,E1,Energy Offshore,GBP,2020-04-12,2021-04-12,4793122.07,4370300.57,Broker_9,CA,4
2025-11-30,POL000043,1183,2022,A2,Accident & Health Reinsurance,AUD,2022-03-12,2023-03-12,1650036.08,1432445.19,Broker_36,JP,7
2025-11-30,POL000044,2010,2022,E1,Energy Offshore,USD,2022-10-07,2023-10-07,4979696.9,3555343.18,Broker_35,CA,2
2025-11-30,POL000045,2010,2018,A2,Accident & Health Reinsurance,AUD,2018-06-07,2019-06-07,2136196.46,1614204.26,Broker_9,US,2
2025-11-30,POL000046,623,2022,E1,Energy Offshore,JPY,2022-03-08,2023-03-08,1877611.27,1488308.36,Broker_17,CA,7
2025-11-30,POL000047,2010,2021,E1,Energy Offshore,CAD,2021-06-28,2022-06-28,426668.58,381564.05,Broker_39,DE,3
2025-11-30,POL000048,5000,2019,D1,Direct Motor (Private Car),CAD,2019-10-20,2020-10-19,602901.4,439745.17,Broker_41,CA,1
2025-11-30,POL000049,1183,2026,E1,Energy Offshore,CHF,2026-12-17,2027-12-17,423627.7,352497.44,Broker_6,US,5
2025-11-30,POL000050,4242,2022,E1,Energy Offshore,CAD,2022-03-19,2023-03-19,4846819.65,4026613.98,Broker_41,GB,1
2025-11-30,POL000051,623,2024,D1,Direct Motor (Private Car),GBP,2024-11-12,2025-11-12,4793925.01,3425096.31,Broker_38,FR,8
2025-11-30,POL000052,623,2021,A2,Accident & Health Reinsurance,USD,2021-08-26,2022-08-26,1154679.78,885044.13,Broker_37,GB,4
2025-11-30,POL000053,4242,2026,A1,Direct Accident & Health,GBP,2026-05-20,2027-05-20,3017881.59,2316946.63,Broker_13,AU,3
2025-11-30,POL000054,4242,2020,A2,Accident & Health Reinsurance,AUD,2020-09-02,2021-09-02,422914.62,388728.47,Broker_45,JP,7
2025-11-30,POL000055,1910,2023,A1,Direct Accident & Health,GBP,2023-02-15,2024-02-15,760580.29,645377.23,Broker_25,AU,1
