Transaction_ID,Policy_ID,Syndicate_Number,Year_of_Account,LOB_Code,LOB_Name,Currency,Transaction_Type,Transaction_Date,Quarter,Gross_Amount,Ceding_Commission,Net_Amount,Earned_Premium,Unearned_Premium,Country
PRM00000001,POL000088,33,2018,A1,Direct Accident & Health,CHF,Written_Premium,2018-03-15,Q1,780349.09,133714.31,638533.38,195087.27,585261.82,FR
PRM00000002,POL000088,33,2018,A1,Direct Accident & Health,CHF,Written_Premium,2018-06-15,Q2,780349.09,132255.99,586806.68,390174.54,390174.54,FR
PRM00000003,POL000088,33,2018,A1,Direct Accident & Health,CHF,Written_Premium,2018-09-15,Q3,780349.09,78770.01,650799.66,585261.82,195087.27,FR
PRM00000004,POL000088,33,2018,A1,Direct Accident & Health,CHF,Written_Premium,2018-12-15,Q4,780349.09,154681.74,617141.88,780349.09,0.0,FR
PRM00000005,POL000343,33,2018,A1,Direct Accident & Health,CHF,Written_Premium,2018-03-15,Q1,383026.08,64459.21,297166.43,95756.52,287269.56,AU
PRM00000006,POL000343,33,2018,A1,Direct Accident & Health,CHF,Written_Premium,2018-06-15,Q2,383026.08,50235.73,291755.27,191513.04,191513.04,AU
PRM00000007,POL000343,33,2018,A1,Direct Accident & Health,CHF,Written_Premium,2018-09-15,Q3,383026.08,72039.28,305105.4,287269.56,95756.52,AU
PRM00000008,POL000343,33,2018,A1,Direct Accident & Health,CHF,Written_Premium,2018-12-15,Q4,383026.08,47130.07,329245.63,383026.08,0.0,AU
PRM00000009,POL000433,33,2018,A1,Direct Accident & Health,AUD,Written_Premium,2018-03-15,Q1,250700.24,30069.99,197060.75,62675.06,188025.18,GB
PRM00000010,POL000433,33,2018,A1,Direct Accident & Health,AUD,Written_Premium,2018-06-15,Q2,250700.24,27667.69,224234.02,125350.12,125350.12,GB
PRM00000011,POL000433,33,2018,A1,Direct Accident & Health,AUD,Written_Premium,2018-09-15,Q3,250700.24,31278.31,225467.14,188025.18,62675.06,GB
PRM00000012,POL000433,33,2018,A1,Direct Accident & Health,AUD,Written_Premium,2018-12-15,Q4,250700.24,29486.1,188801.8,250700.24,0.0,GB
PRM00000013,POL000594,33,2018,A1,Direct Accident & Health,GBP,Written_Premium,2018-03-15,Q1,635171.29,120409.02,531640.01,158792.82,476378.47,JP
PRM00000014,POL000594,33,2018,A1,Direct Accident & Health,GBP,Written_Premium,2018-06-15,Q2,635171.29,85837.68,525287.26,317585.65,317585.65,JP
PRM00000015,POL000594,33,2018,A1,Direct Accident & Health,GBP,Written_Premium,2018-09-15,Q3,635171.29,80077.76,536855.56,476378.47,158792.82,JP
PRM00000016,POL000594,33,2018,A1,Direct Accident & Health,GBP,Written_Premium,2018-12-15,Q4,635171.29,102673.44,484018.84,635171.29,0.0,JP
