Reserve_ID,Syndicate_Number,LOB_Code,LOB_Name,Valuation_Date,Quarter,Reserve_Type,Movement_Type,Amount,Currency,Discounted,Confidence_Level
RES00000001,2987,A1,Direct Accident & Health,2024-03-30,2024-Q1,Best_Estimate_Liabilities,Revaluation,2395650.48,GBP,True,0.5
RES00000002,2987,A1,Direct Accident & Health,2024-03-30,2024-Q1,Risk_Margin,Revaluation,143212.45,GBP,True,0.5
RES00000003,2987,A1,Direct Accident & Health,2024-03-30,2024-Q1,Reinsurance_Recoverables,Revaluation,661481.45,GBP,True,0.5
RES00000004,2987,A1,Direct Accident & Health,2024-03-30,2024-Q1,IBNR,Revaluation,413181.7,GBP,False,0.75
RES00000005,2987,A1,Direct Accident & Health,2024-06-30,2024-Q2,Best_Estimate_Liabilities,Revaluation,2090879.73,GBP,True,0.5
RES00000006,2987,A1,Direct Accident & Health,2024-06-30,2024-Q2,Risk_Margin,Revaluation,144806.47,GBP,True,0.5
RES00000007,2987,A1,Direct Accident & Health,2024-06-30,2024-Q2,Reinsurance_Recoverables,Revaluation,632652.01,GBP,True,0.5
RES00000008,2987,A1,Direct Accident & Health,2024-06-30,2024-Q2,IBNR,Revaluation,312796.13,GBP,False,0.75
RES00000009,2987,A1,Direct Accident & Health,2024-09-30,2024-Q3,Best_Estimate_Liabilities,Revaluation,2152598.25,GBP,True,0.5
RES00000010,2987,A1,Direct Accident & Health,2024-09-30,2024-Q3,Risk_Margin,Revaluation,137968.51,GBP,True,0.5
RES00000011,2987,A1,Direct Accident & Health,2024-09-30,2024-Q3,Reinsurance_Recoverables,Revaluation,591495.16,GBP,True,0.5
RES00000012,2987,A1,Direct Accident & Health,2024-09-30,2024-Q3,IBNR,Revaluation,383877.37,GBP,False,0.75
RES00000013,2987,A1,Direct Accident & Health,2024-12-30,2024-Q4,Best_Estimate_Liabilities,Revaluation,2322353.6,GBP,True,0.5
RES00000014,2987,A1,Direct Accident & Health,2024-12-30,2024-Q4,Risk_Margin,Revaluation,132694.6,GBP,True,0.5
RES00000015,2987,A1,Direct Accident & Health,2024-12-30,2024-Q4,Reinsurance_Recoverables,Revaluation,618354.5,GBP,True,0.5
RES00000016,2987,A1,Direct Accident & Health,2024-12-30,2024-Q4,IBNR,Revaluation,297063.47,GBP,False,0.75
RES00000017,2987,A1,Direct Accident & Health,2025-03-30,2025-Q1,Best_Estimate_Liabilities,Revaluation,2142078.11,GBP,True,0.5
RES00000018,2987,A1,Direct Accident & Health,2025-03-30,2025-Q1,Risk_Margin,Revaluation,127781.84,GBP,True,0.5
RES00000019,2987,A1,Direct Accident & Health,2025-03-30,2025-Q1,Reinsurance_Recoverables,Revaluation,718858.99,GBP,True,0.5
RES00000020,2987,A1,Direct Accident & Health,2025-03-30,2025-Q1,IBNR,Revaluation,257002.39,GBP,False,0.75
RES00000021,2987,A1,Direct Accident & Health,2025-06-30,2025-Q2,Best_Estimate_Liabilities,Revaluation,2363448.22,GBP,True,0.5
RES00000022,2987,A1,Direct Accident & Health,2025-06-30,2025-Q2,Risk_Margin,Revaluation,134654.3,GBP,True,0.5
RES00000023,2987,A1,Direct Accident & Health,2025-06-30,2025-Q2,Reinsurance_Recoverables,Revaluation,655695.2,GBP,True,0.5
RES00000024,2987,A1,Direct Accident & Health,2025-06-30,2025-Q2,IBNR,Revaluation,376104.25,GBP,False,0.75
RES00000025,2987,A1,Direct Accident & Health,2025-09-30,2025-Q3,Best_Estimate_Liabilities,Revaluation,2473027.84,GBP,True,0.5
RES00000026,2987,A1,Direct Accident & Health,2025-09-30,2025-Q3,Risk_Margin,Revaluation,137163.46,GBP,True,0.5
RES00000027,2987,A1,Direct Accident & Health,2025-09-30,2025-Q3,Reinsurance_Recoverables,Revaluation,649225.11,GBP,True,0.5
RES00000028,2987,A1,Direct Accident & Health,2025-09-30,2025-Q3,IBNR,Revaluation,672966.26,GBP,False,0.75
RES00000029,2987,A1,Direct Accident & Health,2025-12-30,2025-Q4,Best_Estimate_Liabilities,Revaluation,2079064.88,GBP,True,0.5
RES00000030,2987,A1,Direct Accident & Health,2025-12-30,2025-Q4,Risk_Margin,Revaluation,135384.18,GBP,True,0.5
RES00000031,2987,A1,Direct Accident & Health,2025-12-30,2025-Q4,Reinsurance_Recoverables,Revaluation,641041.74,GBP,True,0.5
RES00000032,2987,A1,Direct Accident & Health,2025-12-30,2025-Q4,IBNR,Revaluation,429319.87,GBP,False,0.75
RES00000033,2987,A1,Direct Accident & Health,2026-03-30,2026-Q1,Best_Estimate_Liabilities,Revaluation,2467017.09,GBP,True,0.5
RES00000034,2987,A1,Direct Accident & Health,2026-03-30,2026-Q1,Risk_Margin,Revaluation,137815.97,GBP,True,0.5
