reporting_period,Exposure_ID,Syndicate_Number,Exposure_Date,Quarter,LOB_Code,LOB_Name,Risk_Type,Risk_Category,Gross_Exposure,Net_Exposure,SCR_Contribution,Correlation_Factor,Diversification_Benefit,Calculation_Method
2025-11-30,EXP00000002,2987,2024-03-30,2024-Q1,A1,Direct Accident & Health,Premium_Risk,Underwriting,1292582.56,1052489.89,1217858.26,0.5488,215995.0,Standard_Formula
2025-11-30,EXP00000003,2987,2024-03-30,2024-Q1,A1,Direct Accident & Health,Reserve_Risk,Underwriting,1497550.17,1205094.69,1443735.29,0.6065,256040.22,Standard_Formula
2025-11-30,EXP00000004,2987,2024-03-30,2024-Q1,A1,Direct Accident & Health,Cat_Risk,Underwriting,921763.1,761190.33,977144.69,0.3733,158266.23,Standard_Formula
2025-11-30,EXP00000005,2987,2024-03-30,2024-Q1,A1,Direct Accident & Health,Market_Risk,Non_Underwriting,1290558.09,1043733.48,1214219.69,0.3603,175042.14,Standard_Formula
2025-11-30,EXP00000006,2987,2024-03-30,2024-Q1,A1,Direct Accident & Health,Credit_Risk,Non_Underwriting,462421.67,368755.75,508715.01,0.6702,61542.96,Standard_Formula
2025-11-30,EXP00000007,2987,2024-03-30,2024-Q1,A1,Direct Accident & Health,Operational_Risk,Non_Underwriting,443603.6,322185.02,443625.42,0.6018,79833.03,Standard_Formula
2025-11-30,EXP00000009,2987,2024-03-30,2024-Q1,A2,Accident & Health Reinsurance,Premium_Risk,Underwriting,1308471.08,931700.44,1245565.07,0.6269,218359.07,Standard_Formula
2025-11-30,EXP00000010,2987,2024-03-30,2024-Q1,A2,Accident & Health Reinsurance,Reserve_Risk,Underwriting,1668058.1,1130844.72,1644394.2,0.4772,213411.16,Standard_Formula
2025-11-30,EXP00000011,2987,2024-03-30,2024-Q1,A2,Accident & Health Reinsurance,Cat_Risk,Underwriting,879821.74,705501.65,962574.44,0.5809,145762.73,Standard_Formula
2025-11-30,EXP00000012,2987,2024-03-30,2024-Q1,A2,Accident & Health Reinsurance,Market_Risk,Non_Underwriting,1375271.96,927809.13,1276977.08,0.5971,156065.23,Standard_Formula
2025-11-30,EXP00000013,2987,2024-03-30,2024-Q1,A2,Accident & Health Reinsurance,Credit_Risk,Non_Underwriting,457323.08,376320.78,453655.39,0.4833,52532.76,Standard_Formula
2025-11-30,EXP00000014,2987,2024-03-30,2024-Q1,A2,Accident & Health Reinsurance,Operational_Risk,Non_Underwriting,462528.53,387579.16,424595.83,0.535,80407.28,Standard_Formula
