Syndicate_Number,Year_of_Account,Development_Year,LOB_Code,Currency,Gross_Premium_Written,Net_Premium_Written,Cumulative_Paid_Claims,Case_Reserves,IBNR_Reserve,Total_Incurred,Number_of_Claims,Number_of_Claims_Closed,As_At_Date
2987,2018,0,A1,GBP,8633172,7338196,1292742,3102581,2068387,6463710,232,11,2018-12-31
2987,2018,1,A1,GBP,4372463,3716593,960258,1070002,713334,2743594,365,55,2019-12-31
2987,2018,2,A1,GBP,1971308,1675611,461676,277006,184670,923352,417,16,2020-12-31
2987,2018,3,A1,GBP,10843789,9217220,4182454,1351254,900836,6434544,230,51,2021-12-31
2987,2018,4,A1,GBP,9193906,7814820,4872523,730878,487252,6090653,299,283,2022-12-31
2987,2018,5,A1,GBP,7041706,5985450,3465179,109426,72951,3647556,50,301,2023-12-31
2987,2018,6,A1,GBP,13836056,11760647,9655964,0,0,9655964,133,259,2024-12-31
2987,2018,0,A2,GBP,5802233,4931898,629977,1511946,1007964,3149887,336,27,2018-12-31
2987,2018,1,A2,GBP,16420627,13957532,3173216,3535869,2357246,9066331,14,85,2019-12-31
2987,2018,2,A2,GBP,10651317,9053619,3840035,2304021,1536014,7680070,90,21,2020-12-31
2987,2018,3,A2,GBP,15821991,13448692,8516364,2751440,1834293,13102097,310,102,2021-12-31
2987,2018,4,A2,GBP,15237445,12951828,8851436,1327715,885143,11064294,243,127,2022-12-31
2987,2018,5,A2,GBP,7684613,6531921,6203495,195899,130599,6529993,446,239,2023-12-31
2987,2018,6,A2,GBP,4578689,3891885,2494846,0,0,2494846,302,188,2024-12-31
2987,2018,0,D1,GBP,10927829,9288654,1851342,4443221,2962147,9256710,161,3,2018-12-31
2987,2018,1,D1,GBP,14281036,12138880,2798044,3117820,2078547,7994411,299,124,2019-12-31
2987,2018,2,D1,GBP,2645651,2248803,1077106,646263,430842,2154211,391,129,2020-12-31
2987,2018,3,D1,GBP,10603082,9012619,5239965,1692911,1128607,8061483,127,204,2021-12-31
2987,2018,4,D1,GBP,12821929,10898639,5514473,827171,551447,6893091,107,257,2022-12-31
2987,2018,5,D1,GBP,9409639,7998193,6446077,203560,135706,6785343,379,377,2023-12-31
2987,2018,6,D1,GBP,5589549,4751116,3919946,0,0,3919946,472,326,2024-12-31
2987,2018,0,D2,GBP,2322802,1974381,266459,639502,426334,1332295,235,4,2018-12-31
2987,2018,1,D2,GBP,13242711,11256304,3443507,3837050,2558033,9838590,56,54,2019-12-31
2987,2018,2,D2,GBP,11962874,10168442,4480050,2688030,1792020,8960100,99,53,2020-12-31
2987,2018,3,D2,GBP,5434546,4619364,2700933,872609,581739,4155281,458,124,2021-12-31
2987,2018,4,D2,GBP,18812449,15990581,9793277,1468991,979327,12241595,149,71,2022-12-31
2987,2018,5,D2,GBP,9622485,8179112,7455872,235448,156965,7848285,493,238,2023-12-31
2987,2018,6,D2,GBP,10903303,9267807,8162471,0,0,8162471,183,63,2024-12-31
2987,2018,0,E1,GBP,16714593,14207404,2791862,6700471,4466980,13959313,82,78,2018-12-31
2987,2018,1,E1,GBP,8570372,7284816,2381875,2654089,1769392,6805356,380,122,2019-12-31
2987,2018,2,E1,GBP,14334916,12184678,5998502,3599101,2399400,11997003,421,145,2020-12-31
