Syndicate_Number,Year_of_Account,LOB_Code,Currency,Gross_Written_Premium,Gross_Earned_Premium,Paid_Claims_Gross,Case_Reserves_Gross,IBNR_Best_Estimate,IBNR_High,IBNR_Low,Ultimate_Loss_Ratio,As_At_Date
2987,2018,A1,GBP,25970231,24044522,8520066,1742225,2737674,3705414,2589785,0.5545,2024-12-31
2987,2018,A2,GBP,34602768,30355811,10589095,2638604,8089157,7385162,2731183,0.6842,2024-12-31
2987,2018,D1,GBP,41408485,36516010,11360737,4376080,5306014,6392399,2841973,0.6201,2024-12-31
2987,2018,D2,GBP,46155375,41727122,13960379,3459660,11117339,7063648,5296779,0.7284,2024-12-31
2987,2018,E1,GBP,10779387,9355411,3963912,1090730,2172446,2327475,1317892,0.6353,2024-12-31
2987,2019,A1,GBP,25967537,22586945,10045424,2896347,2652690,6156029,3436369,0.6165,2024-12-31
2987,2019,A2,GBP,43103695,40141828,16791688,3647667,5990114,8369566,5130926,0.5764,2024-12-31
2987,2019,D1,GBP,36232234,34230215,10341237,4424094,4705089,6363903,2975602,0.6441,2024-12-31
2987,2019,D2,GBP,49639515,46466515,15211953,4548973,4986968,6806683,5253782,0.6161,2024-12-31
2987,2019,E1,GBP,16462297,14566853,5714638,1505474,2307577,3422917,1158566,0.6065,2024-12-31
2987,2020,A1,GBP,42322585,39327969,16108766,4030809,6695541,9328042,5242532,0.6799,2024-12-31
2987,2020,A2,GBP,37371615,33039176,15088605,3726554,7187695,6724102,5108567,0.6268,2024-12-31
2987,2020,D1,GBP,41542580,36030234,17194607,4977309,8366689,10511943,3352276,0.6888,2024-12-31
2987,2020,D2,GBP,45001949,40749659,18698209,3401192,9865952,6186060,3363435,0.6426,2024-12-31
2987,2020,E1,GBP,45024089,39976487,17385711,5264225,5330501,11523283,7391039,0.7043,2024-12-31
2987,2021,A1,GBP,47690150,44147142,20313383,4933408,7072610,10970980,5672805,0.712,2024-12-31
2987,2021,A2,GBP,18801721,16576721,7369073,2468738,2721516,5015231,2131805,0.6863,2024-12-31
2987,2021,D1,GBP,28103207,25525375,12265708,3175337,6717367,7788978,2299089,0.7481,2024-12-31
2987,2021,D2,GBP,41835057,35563326,17669460,6155270,5348648,7977318,3256283,0.7436,2024-12-31
2987,2021,E1,GBP,33971936,30215551,11620865,3243434,5308337,7248378,4676442,0.6904,2024-12-31
2987,2022,A1,GBP,36868081,33385601,13910747,2897805,4973096,5489629,4919056,0.5778,2024-12-31
2987,2022,A2,GBP,13425461,11507964,3134315,1333099,1915539,2225373,1924773,0.5769,2024-12-31
2987,2022,D1,GBP,10681667,9940296,4058869,1167973,1783052,2381256,1193442,0.5774,2024-12-31
2987,2022,D2,GBP,35493889,32129245,12379073,3135891,4330440,7425278,4319625,0.6519,2024-12-31
2987,2022,E1,GBP,20888021,18317228,9805747,2279942,2266305,3002213,2494796,0.6924,2024-12-31
2987,2023,A1,GBP,29734891,26706490,10338035,1944652,5044447,6754950,4215081,0.5726,2024-12-31
2987,2023,A2,GBP,23751583,20374665,10186013,1662271,3733847,5319794,3727301,0.643,2024-12-31
2987,2023,D1,GBP,10239988,9256127,4036143,1134446,2325924,2159170,714673,0.6868,2024-12-31
2987,2023,D2,GBP,35469757,31813649,14353348,3288966,7918340,8324037,3318584,0.6525,2024-12-31
2987,2023,E1,GBP,7370703,6705597,2494662,906521,1026305,1654876,948261,0.689,2024-12-31
2987,2024,A1,GBP,43443983,41229924,15644295,3954027,5047779,5270245,4280407,0.5603,2024-12-31
2987,2024,A2,GBP,23646117,21555322,6851155,1784546,4234874,4554009,3357957,0.6004,2024-12-31
2987,2024,D1,GBP,15142539,13431079,4673143,1840398,2036426,2438289,1849231,0.6818,2024-12-31
2987,2024,D2,GBP,7220667,6198510,1980980,863792,807674,1336326,1112323,0.6186,2024-12-31
2987,2024,E1,GBP,30713901,27458795,10852393,2222443,5448883,4937585,3603668,0.5976,2024-12-31
33,2018,A1,GBP,12784250,11459820,3890003,1057837,2433809,2755126,967712,0.5605,2024-12-31
33,2018,A2,GBP,31177187,26953145,13292221,2034525,6744690,5826207,4057014,0.6449,2024-12-31
33,2018,D1,GBP,40584704,34663467,18817245,4562592,9508375,7979186,6623556,0.6866,2024-12-31
33,2018,D2,GBP,23293245,20421392,6172435,2377585,3280082,5096667,3052043,0.617,2024-12-31
33,2018,E1,GBP,44508618,40146561,18906997,6246435,6664254,6333998,3173693,0.7041,2024-12-31
33,2019,A1,GBP,9560178,8219553,2277006,763597,1023891,1355410,681043,0.5524,2024-12-31
33,2019,A2,GBP,6590511,5639422,2568092,841150,858774,1420640,525255,0.6739,2024-12-31
33,2019,D1,GBP,13051527,11883005,3796594,1305931,2069972,2670119,945582,0.5673,2024-12-31
33,2019,D2,GBP,12438687,10888000,4629558,1659672,2380892,3296223,1212557,0.6891,2024-12-31
33,2019,E1,GBP,33654370,30852910,14620570,2913143,7093151,5918735,2533735,0.6884,2024-12-31
33,2020,A1,GBP,31077862,26602832,13157139,2423156,4562393,5716416,4584867,0.6165,2024-12-31
33,2020,A2,GBP,45956666,42029591,12493604,4450116,6824101,9323883,3348853,0.6285,2024-12-31
33,2020,D1,GBP,34634046,29796664,10126778,3771881,4803696,6941438,5628421,0.6931,2024-12-31
33,2020,D2,GBP,14989441,12742325,4196356,1418489,1839533,2713229,1618959,0.6806,2024-12-31
33,2020,E1,GBP,5248554,4954588,1875654,492238,1092786,1220906,746579,0.6531,2024-12-31
33,2021,A1,GBP,41247424,36645959,14895926,4369340,4277471,7538098,6106373,0.5952,2024-12-31
33,2021,A2,GBP,27376760,24366999,11080420,3680729,3159312,5767281,4587492,0.6864,2024-12-31
33,2021,D1,GBP,10399363,9630281,3637407,898634,1948677,2939149,1487193,0.7182,2024-12-31
33,2021,D2,GBP,25056849,23544569,10174396,2347252,2883379,5639200,3631560,0.6892,2024-12-31
33,2021,E1,GBP,14391412,12269203,5603919,993020,1826133,2874845,1575631,0.5571,2024-12-31
33,2022,A1,GBP,38533235,35967886,13534609,5051089,3983721,5345360,5521401,0.6568,2024-12-31
33,2022,A2,GBP,7873234,6858908,2962181,756809,1679547,1858533,896791,0.6311,2024-12-31
33,2022,D1,GBP,43879232,37613424,16247198,3897661,4026540,9985311,5046004,0.5966,2024-12-31
33,2022,D2,GBP,21286150,18371092,6636440,1542699,3107083,5270945,2474702,0.6903,2024-12-31
33,2022,E1,GBP,16454770,14091795,7613347,1314646,3173939,3812634,1291620,0.7171,2024-12-31
33,2023,A1,GBP,18599016,17318512,8207299,1983007,2538391,4668894,2202235,0.6352,2024-12-31
33,2023,A2,GBP,14216020,13455025,4051918,913127,1612922,1857056,1232108,0.6143,2024-12-31
33,2023,D1,GBP,32860535,29147055,8620430,2385029,5108896,4347098,4193363,0.5836,2024-12-31
