Syndicate_Number,Year_of_Account,LOB_Code,Currency,Net_Written_Premium,Net_Earned_Premium,Paid_Claims_Net,Case_Reserves_Net,IBNR_Net_Best_Estimate,RI_Recoveries_Expected,Net_Ultimate_Loss_Ratio,Actuarial_Method,As_At_Date
2987,2018,A1,GBP,33125945,28926984,11958849,3415137,3091092,6495626,0.5765,Expected Loss Ratio,2024-12-31
2987,2018,A2,GBP,11325268,10484078,4045908,547099,1192365,2386086,0.5618,BF Method,2024-12-31
2987,2018,D1,GBP,16556781,14136025,6383714,1227597,2548644,2163272,0.5303,Expected Loss Ratio,2024-12-31
2987,2018,D2,GBP,25058002,23271293,6097720,2101450,2570155,3699332,0.5269,BF Method,2024-12-31
2987,2018,E1,GBP,4590032,4058840,1282049,213966,714452,963589,0.5458,Chain Ladder,2024-12-31
2987,2019,A1,GBP,17927967,15815401,6493847,898274,3082232,2818686,0.6216,Chain Ladder,2024-12-31
2987,2019,A2,GBP,15916137,15022087,3961786,791008,1777456,3959964,0.5104,Chain Ladder,2024-12-31
2987,2019,D1,GBP,18858504,16910560,5663018,1131515,2226912,3091587,0.6015,Expected Loss Ratio,2024-12-31
2987,2019,D2,GBP,19708055,18659046,5639497,1836769,2282786,3674828,0.5606,BF Method,2024-12-31
2987,2019,E1,GBP,29725734,26523372,10826541,2110208,2533045,5071418,0.5755,BF Method,2024-12-31
2987,2020,A1,GBP,4329498,3716108,2039113,310760,612057,710512,0.6524,Expected Loss Ratio,2024-12-31
2987,2020,A2,GBP,14790981,13243257,4588452,1146840,1084414,2507776,0.5515,Chain Ladder,2024-12-31
2987,2020,D1,GBP,34491403,29332111,13175062,2845843,3484228,8188941,0.5391,BF Method,2024-12-31
2987,2020,D2,GBP,30905218,27422647,12692073,3064325,4803569,7589514,0.6881,BF Method,2024-12-31
2987,2020,E1,GBP,5605628,5287300,1952694,611973,1144412,665228,0.6985,Expected Loss Ratio,2024-12-31
2987,2021,A1,GBP,26392719,24250921,10468097,2304960,4555782,4573680,0.6019,Expected Loss Ratio,2024-12-31
2987,2021,A2,GBP,19561918,18218261,6858984,1584077,2634484,2057446,0.5485,Expected Loss Ratio,2024-12-31
2987,2021,D1,GBP,12924346,11865927,3756463,1000809,2079349,2175433,0.5523,Chain Ladder,2024-12-31
2987,2021,D2,GBP,3827948,3526156,1132497,301717,591679,435796,0.5233,Chain Ladder,2024-12-31
2987,2021,E1,GBP,37798431,32755453,14901351,3845678,5416411,8746591,0.682,Expected Loss Ratio,2024-12-31
2987,2022,A1,GBP,28688508,26543933,12878236,2956039,2473125,6027169,0.6172,Expected Loss Ratio,2024-12-31
2987,2022,A2,GBP,26111810,22742147,11674088,2594499,2096974,3664876,0.6628,Chain Ladder,2024-12-31
2987,2022,D1,GBP,35998989,33105810,10941392,2619717,4537792,3977032,0.5003,Chain Ladder,2024-12-31
