Syndicate_Number,Pure_Year_of_Account,LOB_Code,Currency,Outstanding_Claims,IBNR_Reserve,Total_Reserve,Number_Outstanding_Claims,Average_Outstanding_Claim,Reserve_to_Premium_Ratio,As_At_Date
2987,2018,A1,GBP,7786660,1428456,9215116,271,61798,0.655,2024-12-31
2987,2018,A2,GBP,1151169,7315549,8466718,154,5379,0.6155,2024-12-31
2987,2018,D1,GBP,4437877,6150278,10588155,267,15250,0.6285,2024-12-31
2987,2018,D2,GBP,3520978,5334852,8855830,138,20834,0.634,2024-12-31
2987,2018,E1,GBP,8724559,6880192,15604751,202,29277,0.5405,2024-12-31
2987,2019,A1,GBP,2119558,3973044,6092602,77,12691,0.5098,2024-12-31
2987,2019,A2,GBP,8002316,5759256,13761572,146,33765,0.3579,2024-12-31
2987,2019,D1,GBP,8296975,5650354,13947329,78,42116,0.6485,2024-12-31
2987,2019,D2,GBP,12324897,2448454,14773351,267,45647,0.6005,2024-12-31
2987,2019,E1,GBP,12029670,4240297,16269967,34,71605,0.434,2024-12-31
2987,2020,A1,GBP,4108882,7161979,11270861,51,22210,0.4308,2024-12-31
2987,2020,A2,GBP,5828751,7199279,13028030,220,23694,0.5126,2024-12-31
2987,2020,D1,GBP,4873809,1216595,6090404,157,18185,0.6641,2024-12-31
2987,2020,D2,GBP,6201595,1065519,7267114,177,24906,0.5049,2024-12-31
2987,2020,E1,GBP,10105051,3093996,13199047,294,80840,0.6898,2024-12-31
2987,2021,A1,GBP,2350788,5831182,8181970,86,7941,0.31,2024-12-31
2987,2021,A2,GBP,12616987,654296,13271283,214,191166,0.6902,2024-12-31
2987,2021,D1,GBP,6091646,6217334,12308980,52,135369,0.5593,2024-12-31
2987,2021,D2,GBP,6574992,9283740,15858732,121,65749,0.7191,2024-12-31
2987,2021,E1,GBP,7135829,4147593,11283422,168,69959,0.7553,2024-12-31
2987,2022,A1,GBP,6061682,7235621,13297303,130,41235,0.77,2024-12-31
2987,2022,A2,GBP,1105237,636020,1741257,289,15350,0.5507,2024-12-31
2987,2022,D1,GBP,13776540,8435271,22211811,41,137765,0.4415,2024-12-31
2987,2022,D2,GBP,906752,4158847,5065599,146,24506,0.4362,2024-12-31
2987,2022,E1,GBP,2574382,6639384,9213766,225,29590,0.7091,2024-12-31
2987,2023,A1,GBP,5029825,1724664,6754489,59,88242,0.5523,2024-12-31
2987,2023,A2,GBP,12302590,7268920,19571510,30,455651,0.6713,2024-12-31
2987,2023,D1,GBP,9588183,2847579,12435762,68,43582,0.3971,2024-12-31
2987,2023,D2,GBP,10661818,5537674,16199492,185,44986,0.5562,2024-12-31
2987,2023,E1,GBP,893122,5369302,6262424,160,3516,0.4013,2024-12-31
2987,2024,A1,GBP,4933714,9967051,14900765,261,23272,0.4456,2024-12-31
2987,2024,A2,GBP,2061327,4028785,6090112,228,12724,0.5417,2024-12-31
2987,2024,D1,GBP,12292360,9245677,21538037,279,84774,0.4912,2024-12-31
2987,2024,D2,GBP,8838861,6904270,15743131,210,29561,0.6573,2024-12-31
2987,2024,E1,GBP,8087837,4059117,12146954,32,36268,0.6856,2024-12-31
33,2018,A1,GBP,8000846,6504577,14505423,264,106677,0.6214,2024-12-31
33,2018,A2,GBP,6077341,2712081,8789422,62,89372,0.5804,2024-12-31
33,2018,D1,GBP,3984322,8517672,12501994,147,64263,0.3707,2024-12-31
33,2018,D2,GBP,10842960,8244257,19087217,287,78006,0.3295,2024-12-31
33,2018,E1,GBP,8778176,4528258,13306434,230,49040,0.6703,2024-12-31
33,2019,A1,GBP,14497624,2826849,17324473,38,78791,0.6445,2024-12-31
33,2019,A2,GBP,10545024,7120513,17665537,22,67165,0.6452,2024-12-31
33,2019,D1,GBP,13167434,9735665,22903099,270,44038,0.5499,2024-12-31
33,2019,D2,GBP,11438889,4255049,15693938,184,44683,0.6544,2024-12-31
33,2019,E1,GBP,9130721,9608120,18738841,61,125078,0.5129,2024-12-31
33,2020,A1,GBP,1800308,6602966,8403274,85,69242,0.381,2024-12-31
33,2020,A2,GBP,13051853,2338057,15389910,105,107866,0.5188,2024-12-31
33,2020,D1,GBP,2406975,955350,3362325,237,8816,0.3854,2024-12-31
33,2020,D2,GBP,13974681,9101144,23075825,269,153567,0.6745,2024-12-31
33,2020,E1,GBP,9678564,7315348,16993912,224,403273,0.4484,2024-12-31
33,2021,A1,GBP,7806131,5236253,13042384,158,27199,0.4612,2024-12-31
33,2021,A2,GBP,6734947,9759168,16494115,104,73205,0.4451,2024-12-31
33,2021,D1,GBP,11992793,3730300,15723093,210,42079,0.6023,2024-12-31
33,2021,D2,GBP,8420692,8065840,16486532,127,44553,0.7635,2024-12-31
33,2021,E1,GBP,12581780,2570615,15152395,104,43686,0.6575,2024-12-31
