Syndicate_Number,Year_of_Account,Catastrophe_Code,Catastrophe_Description,Event_Date,Currency,Gross_Incurred_Loss,Paid_Loss,Case_Reserves,IBNR_Estimate,RI_Recoveries,Net_Cat_Loss,Market_Share_Estimate,As_At_Date
2987,2020,NAT03,Flood - Europe,2020-03-22,GBP,61509638,25230522,9172342,19018112,28059840,34277616,0.0794,2024-12-31
2987,2020,NAT02,Earthquake - Japan,2020-04-22,GBP,65231224,31004974,14568484,18611438,31507379,29099843,0.0892,2024-12-31
2987,2019,MAN01,Cyber Attack,2019-07-27,GBP,7499119,4922771,876839,1999500,3565782,4970961,0.0722,2024-12-31
2987,2019,NAT03,Flood - Europe,2019-05-08,GBP,67404850,34318217,7636022,22441759,39628681,44455218,0.0317,2024-12-31
2987,2021,MAN03,Aviation Accident,2021-07-02,GBP,60046122,33339045,13797102,13213202,31056797,28987847,0.0327,2024-12-31
2987,2021,MAN02,Industrial Accident,2021-06-14,GBP,70158923,39765473,9659996,16779581,21319741,43072575,0.0537,2024-12-31
2987,2018,MAN03,Aviation Accident,2018-11-09,GBP,60219225,20570055,13075899,19699651,28194715,39216180,0.0438,2024-12-31
2987,2018,NAT02,Earthquake - Japan,2018-11-13,GBP,71654542,22703060,8324083,25763491,35311597,30780857,0.0185,2024-12-31
33,2020,NAT04,Windstorm - Europe,2020-11-23,GBP,79862664,52830417,13039528,19840782,41791567,40266063,0.0809,2024-12-31
33,2020,NAT03,Flood - Europe,2020-10-28,GBP,63839874,32501272,15387296,22553999,31181661,40429104,0.0702,2024-12-31
33,2019,NAT01,Hurricane - USA,2019-03-01,GBP,78092056,43123097,11662606,17419933,33083166,31901571,0.0511,2024-12-31
33,2019,NAT02,Earthquake - Japan,2019-06-27,GBP,36026103,20650330,5506833,14100513,13797627,22880644,0.0392,2024-12-31
33,2021,NAT05,Wildfire - USA,2021-04-18,GBP,23554308,14328640,4289042,5428568,9902143,11884602,0.0834,2024-12-31
