Syndicate_Number,Year_of_Account,Currency,Total_Loss_Reserves,ULAE_Ratio,ULAE_Reserve,ULAE_Method,Internal_Costs,External_Costs,As_At_Date
2987,2018,GBP,32398512,0.0326,1056209,Percentage of Reserves,633725,422483,2024-12-31
2987,2019,GBP,51156003,0.0432,2207671,Per Claim,1324602,883068,2024-12-31
2987,2020,GBP,55300876,0.032,1770888,Historical Average,1062532,708355,2024-12-31
2987,2021,GBP,98139894,0.0529,5192029,Percentage of Reserves,3115217,2076811,2024-12-31
2987,2022,GBP,54683613,0.0576,3147791,Percentage of Reserves,1888674,1259116,2024-12-31
2987,2023,GBP,93774633,0.0305,2863304,Historical Average,1717982,1145321,2024-12-31
2987,2024,GBP,12578612,0.0451,567742,Percentage of Reserves,340645,227096,2024-12-31
33,2018,GBP,73098568,0.049,3581891,Percentage of Reserves,2149135,1432756,2024-12-31
33,2019,GBP,46276862,0.0648,3000721,Per Claim,1800432,1200288,2024-12-31
33,2020,GBP,59230243,0.0702,4155434,Per Claim,2493260,1662173,2024-12-31
33,2021,GBP,64652792,0.0654,4225966,Percentage of Reserves,2535580,1690386,2024-12-31
33,2022,GBP,56471424,0.066,3724621,Historical Average,2234772,1489848,2024-12-31
33,2023,GBP,35891060,0.0544,1953963,Per Claim,1172378,781585,2024-12-31
33,2024,GBP,21181158,0.0757,1602733,Historical Average,961639,641093,2024-12-31
1183,2018,GBP,21381032,0.0703,1502525,Per Claim,901515,601010,2024-12-31
1183,2019,GBP,78288809,0.0748,5855294,Percentage of Reserves,3513176,2342117,2024-12-31
1183,2020,GBP,27250444,0.0703,1916015,Percentage of Reserves,1149609,766406,2024-12-31
1183,2021,GBP,42609677,0.0337,1436829,Per Claim,862097,574731,2024-12-31
1183,2022,GBP,18718672,0.0377,705699,Percentage of Reserves,423419,282279,2024-12-31
1183,2023,GBP,21728894,0.0732,1590218,Percentage of Reserves,954131,636087,2024-12-31
1183,2024,GBP,11804855,0.0668,788861,Per Claim,473316,315544,2024-12-31
2791,2018,GBP,92874168,0.0335,3113062,Historical Average,1867837,1245224,2024-12-31
2791,2019,GBP,94037259,0.0783,7361445,Per Claim,4416867,2944578,2024-12-31
2791,2020,GBP,94691777,0.0737,6975950,Historical Average,4185570,2790380,2024-12-31
2791,2021,GBP,24204629,0.0606,1467484,Percentage of Reserves,880490,586993,2024-12-31
2791,2022,GBP,28618004,0.04,1144035,Historical Average,686421,457614,2024-12-31
2791,2023,GBP,20892520,0.0393,820631,Historical Average,492379,328252,2024-12-31
2791,2024,GBP,22292455,0.0302,673055,Historical Average,403833,269222,2024-12-31
623,2018,GBP,41282897,0.0405,1672409,Historical Average,1003445,668963,2024-12-31
623,2019,GBP,20658492,0.0493,1019394,Historical Average,611636,407757,2024-12-31
623,2020,GBP,81045937,0.0396,3212006,Percentage of Reserves,1927204,1284802,2024-12-31
623,2021,GBP,76478091,0.0603,4609555,Percentage of Reserves,2765733,1843822,2024-12-31
623,2022,GBP,72976361,0.0444,3240382,Historical Average,1944229,1296152,2024-12-31
623,2023,GBP,89431668,0.0733,6550906,Percentage of Reserves,3930543,2620362,2024-12-31
623,2024,GBP,69393536,0.0392,2723445,Percentage of Reserves,1634067,1089378,2024-12-31
4242,2018,GBP,20678134,0.0388,802157,Percentage of Reserves,481294,320862,2024-12-31
4242,2019,GBP,45334373,0.0372,1686195,Historical Average,1011717,674478,2024-12-31
4242,2020,GBP,87233454,0.0786,6859706,Historical Average,4115823,2743882,2024-12-31
4242,2021,GBP,26644381,0.0651,1735705,Percentage of Reserves,1041423,694282,2024-12-31
4242,2022,GBP,35259577,0.0394,1387549,Per Claim,832529,555019,2024-12-31
4242,2023,GBP,40563463,0.0381,1546327,Historical Average,927796,618530,2024-12-31
4242,2024,GBP,89498261,0.0448,4012741,Per Claim,2407645,1605096,2024-12-31
5000,2018,GBP,78002009,0.062,4838445,Percentage of Reserves,2903067,1935378,2024-12-31
5000,2019,GBP,67246989,0.0425,2861190,Per Claim,1716714,1144476,2024-12-31
5000,2020,GBP,42315695,0.0565,2392002,Historical Average,1435201,956800,2024-12-31
5000,2021,GBP,43778330,0.0441,1929418,Percentage of Reserves,1157651,771767,2024-12-31
5000,2022,GBP,18677624,0.0331,617874,Per Claim,370724,247149,2024-12-31
5000,2023,GBP,56200862,0.0751,4222633,Percentage of Reserves,2533580,1689053,2024-12-31
5000,2024,GBP,93194239,0.0678,6316939,Per Claim,3790163,2526775,2024-12-31
1910,2018,GBP,20730923,0.0637,1320596,Historical Average,792357,528238,2024-12-31
1910,2019,GBP,69851981,0.0306,2137466,Historical Average,1282480,854986,2024-12-31
1910,2020,GBP,21842256,0.0459,1002994,Per Claim,601796,401197,2024-12-31
1910,2021,GBP,91269754,0.0639,5833029,Percentage of Reserves,3499817,2333211,2024-12-31
1910,2022,GBP,86396882,0.0431,3725594,Per Claim,2235356,1490237,2024-12-31
1910,2023,GBP,70503600,0.0479,3377519,Per Claim,2026511,1351007,2024-12-31
1910,2024,GBP,59720070,0.055,3283692,Per Claim,1970215,1313477,2024-12-31
2010,2018,GBP,52073858,0.0573,2983615,Historical Average,1790169,1193446,2024-12-31
2010,2019,GBP,35539627,0.0414,1471538,Percentage of Reserves,882923,588615,2024-12-31
2010,2020,GBP,15731027,0.0645,1015331,Per Claim,609198,406132,2024-12-31
2010,2021,GBP,72403836,0.074,5357792,Per Claim,3214675,2143116,2024-12-31
2010,2022,GBP,64122182,0.0532,3410094,Per Claim,2046056,1364037,2024-12-31
2010,2023,GBP,70690090,0.0376,2660367,Historical Average,1596220,1064147,2024-12-31
