Syndicate_Number,Year_of_Account,Development_Year,LOB_Code,Currency,Earned_Premium,Incurred_Loss,Incurred_Loss_Ratio,Paid_Loss,Outstanding_Reserve,Calendar_Year,As_At_Date
2987,2018,0,A1,GBP,15624429,2699341,0.1728,2381030,863064,2018,2018-12-31
2987,2018,1,A1,GBP,15624429,3915804,0.2506,2719971,1525173,2019,2019-12-31
2987,2018,2,A1,GBP,15624429,5701798,0.3649,5011494,934685,2020,2020-12-31
2987,2018,3,A1,GBP,15624429,8698217,0.5567,4557032,4214945,2021,2021-12-31
2987,2018,4,A1,GBP,15624429,7266201,0.4651,4572714,2112140,2022,2022-12-31
2987,2018,5,A1,GBP,15624429,8942336,0.5723,5312292,4268491,2023,2023-12-31
2987,2018,0,A2,GBP,19522616,3538003,0.1812,1787353,789693,2018,2018-12-31
2987,2018,1,A2,GBP,19522616,4740926,0.2428,3566046,1771319,2019,2019-12-31
2987,2018,2,A2,GBP,19522616,7113057,0.3643,3903211,1079557,2020,2020-12-31
2987,2018,3,A2,GBP,19522616,8352862,0.4279,6597948,3532005,2021,2021-12-31
2987,2018,4,A2,GBP,19522616,12580802,0.6444,8150183,6141598,2022,2022-12-31
2987,2018,5,A2,GBP,19522616,10069399,0.5158,6835423,2686517,2023,2023-12-31
2987,2018,0,D1,GBP,19056353,4208467,0.2208,3262877,1952974,2018,2018-12-31
2987,2018,1,D1,GBP,19056353,6222610,0.3265,4689038,2866980,2019,2019-12-31
2987,2018,2,D1,GBP,19056353,7078065,0.3714,4333280,1672567,2020,2020-12-31
2987,2018,3,D1,GBP,19056353,9982496,0.5238,7779676,4599358,2021,2021-12-31
2987,2018,4,D1,GBP,19056353,12715001,0.6672,10332693,4182090,2022,2022-12-31
2987,2018,5,D1,GBP,19056353,13870075,0.7278,10863624,4767905,2023,2023-12-31
2987,2018,0,D2,GBP,21716755,4053304,0.1866,2788271,436779,2018,2018-12-31
2987,2018,1,D2,GBP,21716755,6134615,0.2825,3301852,2454317,2019,2019-12-31
2987,2018,2,D2,GBP,21716755,8546434,0.3935,4551173,2532959,2020,2020-12-31
2987,2018,3,D2,GBP,21716755,10597504,0.488,9075323,5121870,2021,2021-12-31
2987,2018,4,D2,GBP,21716755,11072323,0.5099,7526898,4550428,2022,2022-12-31
2987,2018,5,D2,GBP,21716755,15154394,0.6978,9251517,2382776,2023,2023-12-31
2987,2018,0,E1,GBP,8960849,1662515,0.1855,979775,168281,2018,2018-12-31
2987,2018,1,E1,GBP,8960849,2375243,0.2651,1777301,771362,2019,2019-12-31
2987,2018,2,E1,GBP,8960849,3741626,0.4176,3302609,1099585,2020,2020-12-31
2987,2018,3,E1,GBP,8960849,3888171,0.4339,3317719,699961,2021,2021-12-31
2987,2018,4,E1,GBP,8960849,5666965,0.6324,3260080,2660547,2022,2022-12-31
2987,2018,5,E1,GBP,8960849,5835935,0.6513,3608054,724970,2023,2023-12-31
2987,2019,0,A1,GBP,18082408,3422324,0.1893,2401279,682036,2019,2019-12-31
2987,2019,1,A1,GBP,18082408,4833445,0.2673,3771336,2131937,2020,2020-12-31
2987,2019,2,A1,GBP,18082408,6233486,0.3447,3625993,1361651,2021,2021-12-31
2987,2019,3,A1,GBP,18082408,6878619,0.3804,5211209,1847385,2022,2022-12-31
2987,2019,4,A1,GBP,18082408,9636876,0.5329,7808941,4791376,2023,2023-12-31
2987,2019,5,A1,GBP,18082408,11060489,0.6117,7220373,1800552,2024,2024-12-31
2987,2019,0,A2,GBP,34805682,7200760,0.2069,3910717,1507989,2019,2019-12-31
2987,2019,1,A2,GBP,34805682,8911796,0.256,6973646,2507185,2020,2020-12-31
2987,2019,2,A2,GBP,34805682,11292187,0.3244,6226673,5447827,2021,2021-12-31
2987,2019,3,A2,GBP,34805682,13860807,0.3982,11741421,4449735,2022,2022-12-31
2987,2019,4,A2,GBP,34805682,18550904,0.533,11614859,7201470,2023,2023-12-31
2987,2019,5,A2,GBP,34805682,22189728,0.6375,16676826,7955712,2024,2024-12-31
2987,2019,0,D1,GBP,31544085,5152722,0.1633,3839977,2082795,2019,2019-12-31
2987,2019,1,D1,GBP,31544085,9381443,0.2974,5906609,3776936,2020,2020-12-31
2987,2019,2,D1,GBP,31544085,9649563,0.3059,6799886,3754747,2021,2021-12-31
