Syndicate Number,UMR,Insured Country,Risk Location,Insured Name,Insured - Policyholder Type,Risk Code,Risk / Certificate Reference,Original Currency,Sum Insured,Gross Annual Premium in Period,YOA,Part VII Indicator,Original Signing Number,Original Signing Date
1234,E12342679Y6D,AUSTRALIA,AUSTRALIA,Continental Services plc,BUSINESS,9,91520,EUR,4209295.31,218543.05,2021,Y,21/38657,30/04/2021
8901,H89018359V3A,JAPAN,JAPAN,XYZ Trading Co,COMMERCIAL,1E,1E7924,CHF,10607854.68,758794.55,2025,N,23/30379,21/04/2025
5678,L5678533330T,FRANCE,FRANCE,Elite Consortium Ltd,CORPORATE,1T,1T2291,JPY,8823196.87,1202083.88,2021,,23/92397,13/11/2021
5678,V56784733194,GERMANY,GERMANY,Smith Ltd,RETAIL,2T,2T7227,AUD,189245.53,10517.94,2025,N,24/93320,06/07/2025
2791,T27913803TIQ,CANADA,CANADA,Williams Group,RETAIL,3T,3T4598,USD,970162.24,62105.93,2023,,23/17331,28/04/2023
623,S6236155HR5,GERMANY,GERMANY,Continental Services plc,BUSINESS,4,43340,EUR,1158511.9,59263.02,2023,N,22/42325,15/10/2023
8901,L890145939ER,HONG KONG,HONG KONG,ABC Commercial Ltd,COMMERCIAL,9,92796,CHF,6950762.33,849198.38,2023,Y,22/99192,05/08/2023
9012,R90121188YE5,BRAZIL,BRAZIL,Premier Group International,CORPORATE,4,46573,JPY,10217553.1,1318212.35,2021,Y,23/66985,22/03/2021
7890,Q789027435KX,CANADA,CANADA,United Manufacturing Corp,BUSINESS,9,94258,AUD,2405770.63,186909.01,2021,Y,23/31174,04/10/2021
8901,D8901694753L,MEXICO,MEXICO,Smith Ltd,RETAIL,7,74946,EUR,431273.94,46034.78,2021,,21/21226,06/09/2021
1234,R12343705J5P,SPAIN,SPAIN,XYZ Trading Co,COMMERCIAL,eh,eh9835,USD,4614800.1,650667.61,2025,,22/50857,24/07/2025
5678,H56784681CAT,BRAZIL,BRAZIL,Davis LLC,RETAIL,em,em4608,CHF,343764.51,32753.74,2024,Y,21/92719,31/01/2024
3456,Q34564899KRT,BELGIUM,BELGIUM,Davis LLC,RETAIL,em,em8744,GBP,810807.11,48326.65,2021,Y,24/63354,08/04/2021
1234,N123486515BX,SWITZERLAND,SWITZERLAND,ABC Commercial Ltd,COMMERCIAL,8,81993,JPY,3556051.95,279706.4,2021,N,23/24322,08/05/2021
3456,F34565563Q5C,SPAIN,SPAIN,Urban Services Ltd,COMMERCIAL,6,62604,JPY,3607032.83,633173.11,2022,Y,21/22224,02/05/2022
2791,B27913697N9J,JAPAN,JAPAN,City Enterprises plc,COMMERCIAL,5,55673,JPY,4888352.27,646790.37,2024,N,24/30289,07/04/2024
4567,X45676138CVS,CHINA,CHINA,Davis LLC,RETAIL,1E,1E3579,CHF,215026.18,11179.9,2022,Y,21/34356,05/02/2022
9012,D90125033UBC,AUSTRALIA,AUSTRALIA,Urban Services Ltd,COMMERCIAL,8,89565,CAD,16596234.23,969068.83,2021,N,23/36772,09/12/2021
5678,O5678618077A,SPAIN,SPAIN,Prime Industries Corp,CORPORATE,3E,3E2638,JPY,12094628.93,1870761.96,2022,Y,22/76307,16/05/2022
2791,J27913584PTK,AUSTRALIA,AUSTRALIA,Prime Industries Corp,CORPORATE,em,em1128,GBP,41525150.73,3579048.62,2023,,23/96951,23/02/2023
2791,I27915616VZH,CHINA,CHINA,Worldwide Logistics Ltd,BUSINESS,1T,1T9280,GBP,1303874.75,104917.21,2023,N,23/16658,17/02/2023
