Return_Type,Reporting_Period,Year_of_Account,Currency_Code,Currency_Name,Exchange_Rate_to_GBP,Rate_Type,Effective_Date
RRA,2024-12-31,2018,USD,USD,1.2338,Average,2024-12-31
RRA,2024-12-31,2018,EUR,EUR,1.2008,Average,2024-12-31
RRA,2024-12-31,2018,CAD,CAD,1.6516,Average,2024-12-31
RRA,2024-12-31,2018,AUD,AUD,1.9266,Average,2024-12-31
RRA,2024-12-31,2018,JPY,JPY,185.8418,Average,2024-12-31
RRA,2024-12-31,2018,GBP,GBP,0.9844,Average,2024-12-31
RRA,2024-12-31,2019,USD,USD,1.2401,Average,2024-12-31
RRA,2024-12-31,2019,EUR,EUR,1.1166,Average,2024-12-31
RRA,2024-12-31,2019,CAD,CAD,1.713,Average,2024-12-31
RRA,2024-12-31,2019,AUD,AUD,1.8768,Average,2024-12-31
RRA,2024-12-31,2019,JPY,JPY,196.4603,Average,2024-12-31
RRA,2024-12-31,2019,GBP,GBP,0.9579,Average,2024-12-31
RRA,2024-12-31,2020,USD,USD,1.2437,Average,2024-12-31
RRA,2024-12-31,2020,EUR,EUR,1.1851,Average,2024-12-31
RRA,2024-12-31,2020,CAD,CAD,1.7863,Average,2024-12-31
RRA,2024-12-31,2020,AUD,AUD,1.923,Average,2024-12-31
RRA,2024-12-31,2020,JPY,JPY,182.6996,Average,2024-12-31
RRA,2024-12-31,2020,GBP,GBP,0.957,Average,2024-12-31
RRA,2024-12-31,2021,USD,USD,1.2905,Average,2024-12-31
RRA,2024-12-31,2021,EUR,EUR,1.2019,Average,2024-12-31
RRA,2024-12-31,2021,CAD,CAD,1.8035,Average,2024-12-31
RRA,2024-12-31,2021,AUD,AUD,2.0193,Average,2024-12-31
RRA,2024-12-31,2021,JPY,JPY,195.4082,Average,2024-12-31
RRA,2024-12-31,2021,GBP,GBP,0.988,Average,2024-12-31
RRA,2024-12-31,2022,USD,USD,1.2641,Average,2024-12-31
RRA,2024-12-31,2022,EUR,EUR,1.2091,Average,2024-12-31
RRA,2024-12-31,2022,CAD,CAD,1.662,Average,2024-12-31
RRA,2024-12-31,2022,AUD,AUD,1.9218,Average,2024-12-31
RRA,2024-12-31,2022,JPY,JPY,191.7078,Average,2024-12-31
RRA,2024-12-31,2022,GBP,GBP,1.0202,Average,2024-12-31
RRA,2024-12-31,2023,USD,USD,1.2933,Average,2024-12-31
RRA,2024-12-31,2023,EUR,EUR,1.1199,Average,2024-12-31
RRA,2024-12-31,2023,CAD,CAD,1.7432,Average,2024-12-31
RRA,2024-12-31,2023,AUD,AUD,1.9567,Average,2024-12-31
RRA,2024-12-31,2023,JPY,JPY,183.6897,Average,2024-12-31
RRA,2024-12-31,2023,GBP,GBP,0.9962,Average,2024-12-31
RRA,2024-12-31,2024,USD,USD,1.2408,Average,2024-12-31
RRA,2024-12-31,2024,EUR,EUR,1.2198,Average,2024-12-31
RRA,2024-12-31,2024,CAD,CAD,1.7524,Average,2024-12-31
RRA,2024-12-31,2024,AUD,AUD,1.8953,Average,2024-12-31
RRA,2024-12-31,2024,JPY,JPY,185.1877,Average,2024-12-31
RRA,2024-12-31,2024,GBP,GBP,1.0268,Average,2024-12-31
