Return_Type,Reporting_Quarter,Syndicate_Number,Year_of_Account,Development_Year,LOB_Code,Currency,Gross_Premium_Written,Net_Premium_Written,Cumulative_Paid_Claims,Case_Reserves,IBNR_Reserve,Total_Incurred,Number_of_Claims,Number_of_Claims_Closed,As_At_Date,Calendar_Period
RRA,N/A,2987,2018,0,A1,GBP,2876966,2445421,311644,747945,498630,1558219,26,33,2024-12-31,2018
RRA,N/A,2987,2018,1,A1,GBP,14460856,12291727,2819631,3141875,2094583,8056089,118,103,2024-12-31,2019
RRA,N/A,2987,2018,2,A1,GBP,11558837,9825011,3092281,1855368,1236912,6184561,265,103,2024-12-31,2020
RRA,N/A,2987,2018,3,A1,GBP,16396513,13937036,5405054,1746248,1164165,8315467,81,85,2024-12-31,2021
RRA,N/A,2987,2018,4,A1,GBP,19836388,16860929,10562335,1584350,1056233,13202918,392,243,2024-12-31,2022
RRA,N/A,2987,2018,5,A1,GBP,15375853,13069475,11818998,373231,248821,12441050,214,180,2024-12-31,2023
RRA,N/A,2987,2018,6,A1,GBP,8359183,7105305,7096363,0,0,7096363,80,265,2024-12-31,2024
RRA,N/A,2987,2018,0,A2,GBP,17559643,14925696,1708074,4099379,2732919,8540372,34,12,2024-12-31,2018
RRA,N/A,2987,2018,1,A2,GBP,6128503,5209227,1503581,1675419,1116946,4295946,415,123,2024-12-31,2019
RRA,N/A,2987,2018,2,A2,GBP,15165337,12890536,5221149,3132689,2088459,10442297,207,100,2024-12-31,2020
RRA,N/A,2987,2018,3,A2,GBP,16705148,14199375,7184378,2321106,1547404,11052888,293,6,2024-12-31,2021
RRA,N/A,2987,2018,4,A2,GBP,4843718,4117160,2800382,420057,280038,3500477,284,311,2024-12-31,2022
RRA,N/A,2987,2018,5,A2,GBP,9953167,8460191,7161975,226167,150778,7538920,184,58,2024-12-31,2023
RRA,N/A,2987,2018,6,A2,GBP,10848230,9220995,6768276,0,0,6768276,242,6,2024-12-31,2024
RRA,N/A,2987,2018,0,D1,GBP,9837869,8362188,1650312,3960750,2640500,8251562,400,19,2024-12-31,2018
RRA,N/A,2987,2018,1,D1,GBP,18034970,15329724,5144797,5732774,3821849,14699420,455,113,2024-12-31,2019
RRA,N/A,2987,2018,2,D1,GBP,11014145,9362023,4332236,2599341,1732894,8664471,269,158,2024-12-31,2020
RRA,N/A,2987,2018,3,D1,GBP,7674349,6523196,2549711,823753,549168,3922632,400,56,2024-12-31,2021
RRA,N/A,2987,2018,4,D1,GBP,19098556,16233772,12702830,1905424,1270283,15878537,482,220,2024-12-31,2022
RRA,N/A,2987,2018,5,D1,GBP,1019189,866310,667669,21084,14056,702809,260,13,2024-12-31,2023
RRA,N/A,2987,2018,6,D1,GBP,4753657,4040608,3905792,0,0,3905792,459,162,2024-12-31,2024
RRA,N/A,2987,2018,0,D2,GBP,9034686,7679483,854988,2051972,1367981,4274941,459,59,2024-12-31,2018
RRA,N/A,2987,2018,1,D2,GBP,3642648,3096250,617397,687957,458638,1763992,258,14,2024-12-31,2019
RRA,N/A,2987,2018,2,D2,GBP,18874652,16043454,7137768,4282661,2855107,14275536,75,171,2024-12-31,2020
RRA,N/A,2987,2018,3,D2,GBP,16947830,14405655,9129468,2949520,1966346,14045334,94,90,2024-12-31,2021
RRA,N/A,2987,2018,4,D2,GBP,18705794,15899924,11956342,1793451,1195634,14945427,226,90,2024-12-31,2022
RRA,N/A,2987,2018,5,D2,GBP,19095773,16231407,13643944,430861,287240,14362045,363,101,2024-12-31,2023
RRA,N/A,2987,2018,6,D2,GBP,11459463,9740543,6985653,0,0,6985653,353,337,2024-12-31,2024
RRA,N/A,2987,2018,0,E1,GBP,13529912,11500425,1691888,4060532,2707021,8459441,274,47,2024-12-31,2018
RRA,N/A,2987,2018,1,E1,GBP,5060227,4301192,972609,1083765,722510,2778884,42,62,2024-12-31,2019
RRA,N/A,2987,2018,2,E1,GBP,1705792,1449923,584509,350705,233803,1169017,127,153,2024-12-31,2020
RRA,N/A,2987,2018,3,E1,GBP,8389269,7130878,2469545,797853,531902,3799300,372,213,2024-12-31,2021
RRA,N/A,2987,2018,4,E1,GBP,2975475,2529153,1289158,193373,128915,1611446,473,16,2024-12-31,2022
RRA,N/A,2987,2018,5,E1,GBP,12087340,10274239,5492799,173456,115637,5781892,131,139,2024-12-31,2023
RRA,N/A,2987,2018,6,E1,GBP,17287807,14694635,9260986,0,0,9260986,77,375,2024-12-31,2024
RRA,N/A,2987,2019,0,A1,GBP,16860207,14331175,1845177,4428425,2952283,9225885,252,42,2024-12-31,2019
RRA,N/A,2987,2019,1,A1,GBP,7389096,6280731,1261360,1405515,937010,3603885,347,78,2024-12-31,2020
RRA,N/A,2987,2019,2,A1,GBP,12888253,10955015,3991694,2395016,1596677,7983387,249,189,2024-12-31,2021
RRA,N/A,2987,2019,3,A1,GBP,2817683,2395030,1317477,425646,283764,2026887,340,35,2024-12-31,2022
RRA,N/A,2987,2019,4,A1,GBP,3033823,2578749,1483050,222457,148305,1853812,183,48,2024-12-31,2023
RRA,N/A,2987,2019,5,A1,GBP,9343522,7941993,4674603,147619,98412,4920634,284,222,2024-12-31,2024
RRA,N/A,2987,2019,0,A2,GBP,5703737,4848176,705840,1694017,1129344,3529201,152,48,2024-12-31,2019
RRA,N/A,2987,2019,1,A2,GBP,9382113,7974796,2626316,2926466,1950977,7503759,48,80,2024-12-31,2020
RRA,N/A,2987,2019,2,A2,GBP,19465853,16545975,4760992,2856595,1904396,9521983,343,140,2024-12-31,2021
RRA,N/A,2987,2019,3,A2,GBP,1495191,1270912,814040,262997,175331,1252368,484,253,2024-12-31,2022
RRA,N/A,2987,2019,4,A2,GBP,8931579,7591842,3690703,553605,369070,4613378,258,200,2024-12-31,2023
RRA,N/A,2987,2019,5,A2,GBP,8172169,6946343,6178708,195117,130078,6503903,472,33,2024-12-31,2024
RRA,N/A,2987,2019,0,D1,GBP,6524305,5545659,784990,1883976,1255984,3924950,209,28,2024-12-31,2019
RRA,N/A,2987,2019,1,D1,GBP,16267547,13827414,3211781,3578842,2385894,9176517,366,132,2024-12-31,2020
RRA,N/A,2987,2019,2,D1,GBP,19648490,16701216,7021864,4213118,2808745,14043727,259,42,2024-12-31,2021
RRA,N/A,2987,2019,3,D1,GBP,7371915,6266127,2724984,880379,586919,4192282,39,195,2024-12-31,2022
RRA,N/A,2987,2019,4,D1,GBP,19193052,16314094,7283886,1092582,728388,9104856,170,27,2024-12-31,2023
RRA,N/A,2987,2019,5,D1,GBP,2682497,2280122,1742248,55018,36678,1833944,267,262,2024-12-31,2024
RRA,N/A,2987,2019,0,D2,GBP,6282565,5340180,594018,1425645,950430,2970093,270,9,2024-12-31,2019
RRA,N/A,2987,2019,1,D2,GBP,7235251,6149963,1208959,1347126,898084,3454169,44,122,2024-12-31,2020
RRA,N/A,2987,2019,2,D2,GBP,8892133,7558313,2718815,1631289,1087526,5437630,492,148,2024-12-31,2021
RRA,N/A,2987,2019,3,D2,GBP,9261616,7872373,4103071,1325607,883738,6312416,30,209,2024-12-31,2022
RRA,N/A,2987,2019,4,D2,GBP,3750906,3188270,1853517,278027,185351,2316895,308,235,2024-12-31,2023
