Return_Type,Reporting_Quarter,Syndicate_Number,Year_of_Account,LOB_Code,Currency,Gross_Written_Premium,Gross_Earned_Premium,Paid_Claims_Gross,Case_Reserves_Gross,IBNR_Best_Estimate,IBNR_High,IBNR_Low,Ultimate_Loss_Ratio,As_At_Date
RRA,N/A,2987,2018,A1,GBP,40349079,34411999,17348122,5387382,6227281,8549497,7130994,0.7177,2024-12-31
RRA,N/A,2987,2018,A2,GBP,41277988,37350574,13401367,5927431,7844206,9678838,5125325,0.737,2024-12-31
RRA,N/A,2987,2018,D1,GBP,47671247,42594151,20471230,5304365,11474281,10248146,4636587,0.7255,2024-12-31
RRA,N/A,2987,2018,D2,GBP,11009868,9761110,3359164,916202,1054388,2551840,1596794,0.6384,2024-12-31
RRA,N/A,2987,2018,E1,GBP,28077726,25368503,10339808,2544202,5134587,4432471,3664371,0.6074,2024-12-31
RRA,N/A,2987,2019,A1,GBP,24657703,22923692,9316972,1961841,5388055,4744142,2269301,0.6694,2024-12-31
RRA,N/A,2987,2019,A2,GBP,48351708,42928377,14540276,4318231,6009054,10715051,7180451,0.6279,2024-12-31
RRA,N/A,2987,2019,D1,GBP,23244559,21484775,9066366,1993317,4524367,3336267,2023633,0.6069,2024-12-31
RRA,N/A,2987,2019,D2,GBP,47741146,42741536,18673602,4566305,6553485,7052386,7512310,0.6411,2024-12-31
RRA,N/A,2987,2019,E1,GBP,6485178,5578727,1830736,653149,1124969,938912,466872,0.5872,2024-12-31
RRA,N/A,2987,2020,A1,GBP,38123563,34007144,14382447,3389964,5074087,7678275,2370098,0.5934,2024-12-31
RRA,N/A,2987,2020,A2,GBP,10383680,9814284,3110600,1325142,1225973,2194296,961429,0.7187,2024-12-31
RRA,N/A,2987,2020,D1,GBP,21782548,20319309,6784917,2747833,3104927,5505238,2586668,0.7135,2024-12-31
RRA,N/A,2987,2020,D2,GBP,7248837,6694534,1830771,712322,819592,1187873,1044030,0.5898,2024-12-31
RRA,N/A,2987,2020,E1,GBP,26680403,24621308,9675802,2405038,2707229,4597909,2247721,0.5817,2024-12-31
RRA,N/A,2987,2021,A1,GBP,29187823,27330478,9881073,2363220,5873008,5625011,2656491,0.7275,2024-12-31
RRA,N/A,2987,2021,A2,GBP,23528760,20930733,7421288,3089546,4177520,5306340,3189623,0.6669,2024-12-31
RRA,N/A,2987,2021,D1,GBP,15401333,13228944,4300764,1049354,2631832,3712921,2399319,0.6243,2024-12-31
RRA,N/A,2987,2021,D2,GBP,46951920,41578355,11773443,4054047,4524879,7852082,3892440,0.562,2024-12-31
RRA,N/A,2987,2021,E1,GBP,42470263,39313437,19286129,4324318,5668490,10154666,4620474,0.7077,2024-12-31
RRA,N/A,2987,2022,A1,GBP,14041723,11990913,5157214,1313788,2178771,2511397,1559037,0.6001,2024-12-31
RRA,N/A,2987,2022,A2,GBP,41481757,38297627,12402420,4706442,8555168,7990021,2835443,0.6195,2024-12-31
RRA,N/A,2987,2022,D1,GBP,15403583,14355243,5544043,1433197,3008010,2968663,2070322,0.6399,2024-12-31
RRA,N/A,2987,2022,D2,GBP,6256268,5545603,2471055,556856,685873,1658866,939654,0.6739,2024-12-31
RRA,N/A,2987,2022,E1,GBP,17741923,15963382,6569092,1873973,2492220,3812692,1354266,0.6548,2024-12-31
RRA,N/A,2987,2023,A1,GBP,40111393,34270280,18632651,3223232,4273110,6054943,3520730,0.6818,2024-12-31
RRA,N/A,2987,2023,A2,GBP,7135212,6661647,2831101,723121,1375620,1190435,734357,0.6642,2024-12-31
RRA,N/A,2987,2023,D1,GBP,45664859,38874887,21419927,5244045,10631590,11605014,5390809,0.6936,2024-12-31
RRA,N/A,2987,2023,D2,GBP,47876975,43367059,18340871,3810834,6023625,9196008,6016431,0.5621,2024-12-31
RRA,N/A,2987,2023,E1,GBP,22838585,21089835,9740512,1614492,2893380,4551660,1725180,0.6558,2024-12-31
RRA,N/A,2987,2024,A1,GBP,20503355,17816309,7507096,1680461,3701553,3172888,2857988,0.6563,2024-12-31
RRA,N/A,2987,2024,A2,GBP,32862566,30451385,13165809,3847685,6675404,6558328,2656634,0.6992,2024-12-31
RRA,N/A,2987,2024,D1,GBP,17106206,15403612,6743047,1731770,3048103,4365879,2657353,0.66,2024-12-31
RRA,N/A,2987,2024,D2,GBP,41915333,36988831,16043660,5533352,7405813,10826345,5998920,0.7483,2024-12-31
RRA,N/A,2987,2024,E1,GBP,42792001,37978170,15938007,4920633,6261622,8193091,6881347,0.6591,2024-12-31
RRA,N/A,33,2018,A1,GBP,5013128,4753927,2017125,528953,1215311,907498,505563,0.6953,2024-12-31
RRA,N/A,33,2018,A2,GBP,19890564,17533342,7447655,2292062,3708955,4526954,2083960,0.593,2024-12-31
RRA,N/A,33,2018,D1,GBP,43296894,37472226,13092839,4315215,5655820,8703179,5962728,0.7352,2024-12-31
RRA,N/A,33,2018,D2,GBP,20635972,18160279,7086411,1946794,2400667,2673043,1845020,0.6012,2024-12-31
RRA,N/A,33,2018,E1,GBP,37382253,34861587,13262077,3444530,7244928,6972097,3169964,0.5846,2024-12-31
RRA,N/A,33,2019,A1,GBP,43673744,40529766,18506167,3649991,8916030,7846582,6552117,0.6263,2024-12-31
RRA,N/A,33,2019,A2,GBP,13089337,11422694,5646192,1518360,1443088,3368606,1491286,0.724,2024-12-31
RRA,N/A,33,2019,D1,GBP,25453667,22448394,9492567,2211697,4826574,3844532,3351226,0.6549,2024-12-31
RRA,N/A,33,2019,D2,GBP,31365911,29022376,13365516,2544554,5517928,8339754,2852529,0.7442,2024-12-31
RRA,N/A,33,2019,E1,GBP,27559864,25000766,6476131,2184545,2607602,4689566,3373540,0.5665,2024-12-31
RRA,N/A,33,2020,A1,GBP,13749329,12348165,4437024,1347545,2552181,3015432,2410172,0.7024,2024-12-31
RRA,N/A,33,2020,A2,GBP,40181673,34442299,15242662,3186620,8062258,5247233,4834118,0.5992,2024-12-31
RRA,N/A,33,2020,D1,GBP,33423328,29046508,10482178,3447311,6329327,4869836,3174853,0.6231,2024-12-31
RRA,N/A,33,2020,D2,GBP,34676217,31002144,15843804,2885605,6715712,5408614,4895699,0.6746,2024-12-31
RRA,N/A,33,2020,E1,GBP,10758909,9203749,4217094,1186711,1994043,2242113,628607,0.5725,2024-12-31
RRA,N/A,33,2021,A1,GBP,12467739,11185045,3805712,1325556,1465529,2356157,1619248,0.611,2024-12-31
RRA,N/A,33,2021,A2,GBP,41829348,38608168,11965741,4594636,4156532,8563131,5396682,0.6466,2024-12-31
RRA,N/A,33,2021,D1,GBP,7918028,6777919,2190344,807454,972149,1394483,1150724,0.6011,2024-12-31
RRA,N/A,33,2021,D2,GBP,9469302,8305818,3897136,986789,1919109,1211512,1367818,0.6277,2024-12-31
RRA,N/A,33,2021,E1,GBP,48581244,46054012,16839462,5210317,10080429,9049087,5777068,0.6273,2024-12-31
RRA,N/A,33,2022,A1,GBP,10906967,9816980,3442279,1233919,988351,1598029,1149222,0.5873,2024-12-31
RRA,N/A,33,2022,A2,GBP,27385479,25316206,7195975,2988881,3923080,4622065,4425693,0.648,2024-12-31
RRA,N/A,33,2022,D1,GBP,38638416,33082249,11160808,3243624,8183834,9308136,5649819,0.6052,2024-12-31
RRA,N/A,33,2022,D2,GBP,23803490,21046536,7335842,1611026,4192779,4308452,2857241,0.5951,2024-12-31
RRA,N/A,33,2022,E1,GBP,46978245,41892067,18464734,4605822,6860520,10366947,5404277,0.6873,2024-12-31
RRA,N/A,33,2023,A1,GBP,13843078,11958448,4603926,1473588,2640168,2143124,1684462,0.5914,2024-12-31
RRA,N/A,33,2023,A2,GBP,40151990,35855985,19769154,5201777,8265196,9197449,3635475,0.7319,2024-12-31
RRA,N/A,33,2023,D1,GBP,9550923,9024286,2751430,832409,2059090,2182210,1357123,0.6615,2024-12-31
RRA,N/A,33,2023,D2,GBP,32785764,28862449,15177249,4433081,6749753,8460457,2988166,0.7422,2024-12-31
RRA,N/A,33,2023,E1,GBP,17612010,15295584,6326762,1622088,2046476,3153736,1354808,0.5714,2024-12-31
RRA,N/A,33,2024,A1,GBP,20581506,17547965,5200690,2183906,2169607,4530546,2089815,0.5962,2024-12-31
RRA,N/A,33,2024,A2,GBP,48591807,45443686,16619958,3453462,5727429,6267649,6517659,0.6248,2024-12-31
RRA,N/A,33,2024,D1,GBP,6007589,5677290,2061286,738080,841561,1063893,558909,0.7351,2024-12-31
RRA,N/A,33,2024,D2,GBP,34479930,30997260,12408695,3635652,4972689,7008506,2650862,0.7234,2024-12-31
RRA,N/A,33,2024,E1,GBP,30526478,27150709,14443791,3330395,5449869,6955111,4356323,0.694,2024-12-31
RRA,N/A,1183,2018,A1,GBP,7584494,6789342,3215397,517167,1732303,1506930,790532,0.6541,2024-12-31
RRA,N/A,1183,2018,A2,GBP,7634131,6883029,2975600,529924,1051650,1412099,735741,0.6615,2024-12-31
RRA,N/A,1183,2018,D1,GBP,24187403,21581118,9071412,1638220,3936431,3548899,3487321,0.6423,2024-12-31
RRA,N/A,1183,2018,D2,GBP,35312945,31783973,9106257,3180545,6597328,6204453,3188875,0.5681,2024-12-31
RRA,N/A,1183,2018,E1,GBP,26707095,23178763,9866744,2928137,3255088,4974223,2351086,0.6402,2024-12-31
RRA,N/A,1183,2019,A1,GBP,48525227,45111410,21846337,3987787,6134348,10288678,5481581,0.7314,2024-12-31
RRA,N/A,1183,2019,A2,GBP,40152784,37048467,19228078,4475738,5052468,8608722,2959238,0.6915,2024-12-31
RRA,N/A,1183,2019,D1,GBP,16467896,14928957,7211328,1387228,3905211,2843879,2494490,0.7325,2024-12-31
RRA,N/A,1183,2019,D2,GBP,33157650,30605047,13958264,2613599,3774834,7700345,4949549,0.6116,2024-12-31
RRA,N/A,1183,2019,E1,GBP,5237088,4584081,1899035,655420,913853,710558,820967,0.6745,2024-12-31
RRA,N/A,1183,2020,A1,GBP,20963746,19201681,6669007,1793600,3361653,2504224,2889976,0.5934,2024-12-31
RRA,N/A,1183,2020,A2,GBP,23663843,21433640,10327747,1672849,2865135,5273398,1682678,0.674,2024-12-31
RRA,N/A,1183,2020,D1,GBP,7176480,6701407,2400863,941833,783754,1389865,621570,0.6834,2024-12-31
RRA,N/A,1183,2020,D2,GBP,24084455,22137259,9365766,2893651,3002984,4712384,3025020,0.6722,2024-12-31
RRA,N/A,1183,2020,E1,GBP,7405184,6516039,2149898,580640,688602,1202027,768763,0.5686,2024-12-31
RRA,N/A,1183,2021,A1,GBP,24651670,21254727,10446023,2110743,3696025,3842396,2085920,0.6442,2024-12-31
RRA,N/A,1183,2021,A2,GBP,8904701,8218797,2997772,1011925,1256423,1719808,1222565,0.5719,2024-12-31
RRA,N/A,1183,2021,D1,GBP,24272813,22689735,7370719,2429374,4235965,5944428,2963468,0.6354,2024-12-31
RRA,N/A,1183,2021,D2,GBP,38312633,34986550,13723475,2956164,6811766,8561459,6185599,0.6539,2024-12-31
RRA,N/A,1183,2021,E1,GBP,5106093,4577553,1871731,508916,560817,946268,475079,0.5736,2024-12-31
RRA,N/A,1183,2022,A1,GBP,8052929,7296288,2936573,502282,944854,1273094,1085372,0.6168,2024-12-31
RRA,N/A,1183,2022,A2,GBP,25654266,23217094,9861570,1743216,3390796,4369790,2900646,0.6101,2024-12-31
RRA,N/A,1183,2022,D1,GBP,6954034,6045847,3238989,957666,1224666,1469171,524765,0.7164,2024-12-31
RRA,N/A,1183,2022,D2,GBP,14110289,12878743,6088315,1401632,1979124,3253805,1478201,0.6463,2024-12-31
RRA,N/A,1183,2022,E1,GBP,8759591,7707865,3878333,826242,1615280,1517773,1273899,0.717,2024-12-31
RRA,N/A,1183,2023,A1,GBP,28729395,24848929,10554004,2166965,3641643,4965404,2021010,0.5632,2024-12-31
RRA,N/A,1183,2023,A2,GBP,45647106,41516918,18899374,5020338,8342290,7535347,3002223,0.6279,2024-12-31
RRA,N/A,1183,2023,D1,GBP,32774316,30732635,9510787,3401843,3914688,5671793,2347631,0.5674,2024-12-31
RRA,N/A,1183,2023,D2,GBP,30113189,27938385,14349380,3073749,3299623,6313087,3725868,0.707,2024-12-31
RRA,N/A,1183,2023,E1,GBP,17764889,15959038,7269970,1438657,2365643,3885467,1259718,0.618,2024-12-31
RRA,N/A,1183,2024,A1,GBP,39638013,34218375,16771291,3964469,7952350,8271098,2733312,0.6853,2024-12-31
