Return_Type,Reporting_Quarter,Syndicate_Number,Year_of_Account,Development_Year,LOB_Code,Currency,Gross_Premium_Written,Net_Premium_Written,Cumulative_Paid_Claims,Case_Reserves,IBNR_Reserve,Total_Incurred,Number_of_Claims,Number_of_Claims_Closed,As_At_Date,Calendar_Period
RRQ,Q1,2987,2022,0,A1,GBP,8646997,7349947,1313007,3151217,2100811,6565035,50,24,2024-03-31,2022
RRQ,Q1,2987,2022,1,A1,GBP,4389045,3730688,924849,1030546,687030,2642425,242,115,2024-03-31,2023
RRQ,Q1,2987,2022,2,A1,GBP,13241736,11255475,3410155,2046093,1364062,6820310,191,56,2024-03-31,2024
RRQ,Q1,2987,2022,0,A2,GBP,9958289,8464545,1455360,3492864,2328576,7276800,359,67,2024-03-31,2022
RRQ,Q1,2987,2022,1,A2,GBP,3395870,2886489,824443,918665,612443,2355551,97,97,2024-03-31,2023
RRQ,Q1,2987,2022,2,A2,GBP,9214491,7832317,2374394,1424636,949757,4748787,204,71,2024-03-31,2024
RRQ,Q1,2987,2022,0,D1,GBP,19688132,16734912,2117836,5082808,3388539,10589183,176,79,2024-03-31,2022
RRQ,Q1,2987,2022,1,D1,GBP,2876966,2445421,545377,607705,405137,1558219,26,58,2024-03-31,2023
RRQ,Q1,2987,2022,2,D1,GBP,14460856,12291727,4028045,2416827,1611218,8056090,118,147,2024-03-31,2024
RRQ,Q1,2987,2022,0,D2,GBP,11558837,9825011,1236912,2968590,1979060,6184562,265,41,2024-03-31,2022
RRQ,Q1,2987,2022,1,D2,GBP,16396513,13937036,2910414,3243032,2162021,8315467,81,45,2024-03-31,2023
RRQ,Q1,2987,2022,2,D2,GBP,19836388,16860929,6601459,3960875,2640583,13202917,392,152,2024-03-31,2024
RRQ,Q1,2987,2022,0,E1,GBP,15375853,13069475,2488210,5971704,3981136,12441050,214,38,2024-03-31,2022
RRQ,Q1,2987,2022,1,E1,GBP,8359183,7105305,2483727,2767581,1845054,7096362,80,92,2024-03-31,2023
RRQ,Q1,2987,2022,2,E1,GBP,17559643,14925696,4270187,2562112,1708074,8540373,34,30,2024-03-31,2024
RRQ,Q1,2987,2023,0,A1,GBP,6128503,5209227,859189,2062055,1374703,4295947,415,70,2024-03-31,2023
RRQ,Q1,2987,2023,1,A1,GBP,15165337,12890536,3654804,4072496,2714997,10442297,207,70,2024-03-31,2024
RRQ,Q1,2987,2023,0,A2,GBP,16705148,14199375,2210577,5305387,3536924,11052888,293,2,2024-03-31,2023
RRQ,Q1,2987,2023,1,A2,GBP,4843718,4117160,1225167,1365186,910124,3500477,284,136,2024-03-31,2024
RRQ,Q1,2987,2023,0,D1,GBP,9953167,8460191,1507784,3618682,2412454,7538920,184,12,2024-03-31,2023
RRQ,Q1,2987,2023,1,D1,GBP,10848230,9220995,2368896,2639627,1759751,6768274,242,2,2024-03-31,2024
RRQ,Q1,2987,2023,0,D2,GBP,9837869,8362188,1650312,3960750,2640500,8251562,400,19,2024-03-31,2023
RRQ,Q1,2987,2023,1,D2,GBP,18034970,15329724,5144797,5732774,3821849,14699420,455,113,2024-03-31,2024
RRQ,Q1,2987,2023,0,E1,GBP,11014145,9362023,1732894,4158946,2772631,8664471,269,63,2024-03-31,2023
RRQ,Q1,2987,2023,1,E1,GBP,7674349,6523196,1372921,1529827,1019884,3922632,400,30,2024-03-31,2024
RRQ,Q1,2987,2024,0,A1,GBP,19098556,16233772,3175707,7621698,5081132,15878537,482,55,2024-03-31,2024
RRQ,Q1,2987,2024,0,A2,GBP,1019189,866310,140562,337348,224899,702809,260,2,2024-03-31,2024
RRQ,Q1,2987,2024,0,D1,GBP,4753657,4040608,781158,1874780,1249853,3905791,459,32,2024-03-31,2024
RRQ,Q1,2987,2024,0,D2,GBP,9034686,7679483,854988,2051972,1367981,4274941,459,59,2024-03-31,2024
RRQ,Q1,2987,2024,0,E1,GBP,3642648,3096250,352798,846717,564478,1763993,258,8,2024-03-31,2024
RRQ,Q1,33,2022,0,A1,GBP,18874652,16043454,2855107,6852257,4568171,14275535,75,68,2024-03-31,2022
RRQ,Q1,33,2022,1,A1,GBP,16947830,14405655,4915867,5477680,3651787,14045334,94,49,2024-03-31,2023
RRQ,Q1,33,2022,2,A1,GBP,18705794,15899924,7472714,4483628,2989085,14945427,226,56,2024-03-31,2024
RRQ,Q1,33,2022,0,A2,GBP,19095773,16231407,2872409,6893782,4595855,14362046,363,21,2024-03-31,2022
RRQ,Q1,33,2022,1,A2,GBP,11459463,9740543,2444978,2724404,1816269,6985651,353,117,2024-03-31,2023
RRQ,Q1,33,2022,2,A2,GBP,13529912,11500425,4229721,2537832,1691888,8459441,274,118,2024-03-31,2024
RRQ,Q1,33,2022,0,D1,GBP,5060227,4301192,555777,1333865,889243,2778885,42,35,2024-03-31,2022
RRQ,Q1,33,2022,1,D1,GBP,1705792,1449923,409156,455917,303945,1169018,127,107,2024-03-31,2023
RRQ,Q1,33,2022,2,D1,GBP,8389269,7130878,1899650,1139790,759860,3799300,372,164,2024-03-31,2024
RRQ,Q1,33,2022,0,D2,GBP,2975475,2529153,322289,773495,515663,1611447,473,4,2024-03-31,2022
RRQ,Q1,33,2022,1,D2,GBP,12087340,10274239,2023662,2254938,1503292,5781892,131,51,2024-03-31,2023
RRQ,Q1,33,2022,2,D2,GBP,17287807,14694635,4630493,2778296,1852197,9260986,77,187,2024-03-31,2024
RRQ,Q1,33,2022,0,E1,GBP,16860207,14331175,1845177,4428425,2952283,9225885,252,42,2024-03-31,2022
RRQ,Q1,33,2022,1,E1,GBP,7389096,6280731,1261360,1405515,937010,3603885,347,78,2024-03-31,2023
RRQ,Q1,33,2022,2,E1,GBP,12888253,10955015,3991694,2395016,1596677,7983387,249,189,2024-03-31,2024
RRQ,Q1,33,2023,0,A1,GBP,2817683,2395030,405377,972906,648604,2026887,340,11,2024-03-31,2023
RRQ,Q1,33,2023,1,A1,GBP,3033823,2578749,648834,722987,481991,1853812,183,21,2024-03-31,2024
RRQ,Q1,33,2023,0,A2,GBP,9343522,7941993,984127,2361904,1574603,4920634,284,46,2024-03-31,2023
RRQ,Q1,33,2023,1,A2,GBP,5703737,4848176,1235220,1376388,917592,3529200,152,84,2024-03-31,2024
RRQ,Q1,33,2023,0,D1,GBP,9382113,7974796,1500752,3601805,2401203,7503760,48,46,2024-03-31,2023
RRQ,Q1,33,2023,1,D1,GBP,19465853,16545975,3332694,3713573,2475715,9521982,343,98,2024-03-31,2024
RRQ,Q1,33,2023,0,D2,GBP,1495191,1270912,250473,601137,400758,1252368,484,78,2024-03-31,2023
RRQ,Q1,33,2023,1,D2,GBP,8931579,7591842,1614682,1799217,1199478,4613377,258,87,2024-03-31,2024
RRQ,Q1,33,2023,0,E1,GBP,8172169,6946343,1300780,3121873,2081249,6503902,472,7,2024-03-31,2023
RRQ,Q1,33,2023,1,E1,GBP,6524305,5545659,1373733,1530731,1020487,3924951,209,49,2024-03-31,2024
RRQ,Q1,33,2024,0,A1,GBP,16267547,13827414,1835303,4404728,2936485,9176516,366,75,2024-03-31,2024
RRQ,Q1,33,2024,0,A2,GBP,19648490,16701216,2808745,6740990,4493993,14043728,259,16,2024-03-31,2024
RRQ,Q1,33,2024,0,D1,GBP,7371915,6266127,838456,2012296,1341530,4192282,39,60,2024-03-31,2024
RRQ,Q1,33,2024,0,D2,GBP,19193052,16314094,1820971,4370331,2913554,9104856,170,6,2024-03-31,2024
RRQ,Q1,33,2024,0,E1,GBP,2682497,2280122,366789,880293,586862,1833944,267,55,2024-03-31,2024
RRQ,Q1,1183,2022,0,A1,GBP,6282565,5340180,594018,1425645,950430,2970093,270,9,2024-03-31,2022
RRQ,Q1,1183,2022,1,A1,GBP,7235251,6149963,1208959,1347126,898084,3454169,44,122,2024-03-31,2023
RRQ,Q1,1183,2022,2,A1,GBP,8892133,7558313,2718815,1631289,1087526,5437630,492,148,2024-03-31,2024
RRQ,Q1,1183,2022,0,A2,GBP,9261616,7872373,1262483,3029960,2019973,6312416,30,64,2024-03-31,2022
RRQ,Q1,1183,2022,1,A2,GBP,3750906,3188270,810913,903589,602393,2316895,308,102,2024-03-31,2023
RRQ,Q1,1183,2022,2,A2,GBP,18541677,15760425,5345082,3207049,2138033,10690164,143,54,2024-03-31,2024
RRQ,Q1,1183,2022,0,D1,GBP,11542261,9810921,1259201,3022083,2014722,6296006,212,14,2024-03-31,2022
RRQ,Q1,1183,2022,1,D1,GBP,11066231,9406296,2451296,2731444,1820963,7003703,485,136,2024-03-31,2023
RRQ,Q1,1183,2022,2,D1,GBP,3434143,2919021,779080,467448,311632,1558160,328,146,2024-03-31,2024
RRQ,Q1,1183,2022,0,D2,GBP,4354814,3701591,417456,1001894,667929,2087279,119,52,2024-03-31,2022
RRQ,Q1,1183,2022,1,D2,GBP,9898649,8413851,1742596,1941750,1294500,4978846,188,14,2024-03-31,2023
RRQ,Q1,1183,2022,2,D2,GBP,9196824,7817300,2748980,1649388,1099592,5497960,90,114,2024-03-31,2024
RRQ,Q1,1183,2022,0,E1,GBP,19227370,16343264,2812641,6750338,4500225,14063204,323,67,2024-03-31,2022
RRQ,Q1,1183,2022,1,E1,GBP,18748304,15936058,2973391,3313207,2208805,8495403,428,100,2024-03-31,2023
RRQ,Q1,1183,2022,2,E1,GBP,11045483,9388660,4543572,2726143,1817429,9087144,63,36,2024-03-31,2024
RRQ,Q1,1183,2023,0,A1,GBP,9874003,8392902,979839,2351615,1567743,4899197,64,77,2024-03-31,2023
RRQ,Q1,1183,2023,1,A1,GBP,19563105,16628639,3506935,3907727,2605151,10019813,154,109,2024-03-31,2024
RRQ,Q1,1183,2023,0,A2,GBP,8067558,6857424,1189230,2854153,1902768,5946151,114,71,2024-03-31,2023
RRQ,Q1,1183,2023,1,A2,GBP,9857829,8379154,2250121,2507277,1671518,6428916,138,10,2024-03-31,2024
RRQ,Q1,1183,2023,0,D1,GBP,4097022,3482468,576626,1383902,922601,2883129,434,29,2024-03-31,2023
RRQ,Q1,1183,2023,1,D1,GBP,2479306,2107410,391721,436489,290993,1119203,404,24,2024-03-31,2024
RRQ,Q1,1183,2023,0,D2,GBP,9789760,8321296,1007626,2418303,1612202,5038131,236,57,2024-03-31,2023
RRQ,Q1,1183,2023,1,D2,GBP,15350791,13048172,3623200,4037280,2691520,10352000,67,15,2024-03-31,2024
RRQ,Q1,1183,2023,0,E1,GBP,6001431,5101216,802074,1924979,1283319,4010372,437,38,2024-03-31,2023
RRQ,Q1,1183,2023,1,E1,GBP,19539665,16608715,3482615,3880628,2587085,9950328,75,9,2024-03-31,2024
RRQ,Q1,1183,2024,0,A1,GBP,11343433,9641918,1351820,3244370,2162913,6759103,487,5,2024-03-31,2024
RRQ,Q1,1183,2024,0,A2,GBP,13006085,11055172,1389129,3333910,2222607,6945646,137,69,2024-03-31,2024
RRQ,Q1,1183,2024,0,D1,GBP,4449181,3781803,526312,1263150,842100,2631562,296,42,2024-03-31,2024
RRQ,Q1,1183,2024,0,D2,GBP,6185949,5258056,1014873,2435696,1623797,5074366,131,17,2024-03-31,2024
RRQ,Q1,1183,2024,0,E1,GBP,6940891,5899757,1114105,2673852,1782568,5570525,22,19,2024-03-31,2024
RRQ,Q1,2791,2022,0,A1,GBP,12146294,10324349,1853414,4448194,2965462,9267070,220,69,2024-03-31,2022
RRQ,Q1,2791,2022,1,A1,GBP,9327110,7928043,1817413,2025117,1350078,5192608,413,127,2024-03-31,2023
RRQ,Q1,2791,2022,2,A1,GBP,4627087,3933023,1395105,837063,558042,2790210,29,122,2024-03-31,2024
RRQ,Q1,2791,2022,0,A2,GBP,8463637,7194091,896856,2152455,1434970,4484281,480,48,2024-03-31,2022
RRQ,Q1,2791,2022,1,A2,GBP,12732589,10822700,2549404,2840765,1893843,7284012,417,42,2024-03-31,2023
RRQ,Q1,2791,2022,2,A2,GBP,8480073,7208062,1948151,1168890,779260,3896301,108,104,2024-03-31,2024
RRQ,Q1,2791,2022,0,D1,GBP,12014643,10212446,1349103,3237847,2158565,6745515,45,80,2024-03-31,2022
RRQ,Q1,2791,2022,1,D1,GBP,10365880,8810998,2142217,2387042,1591361,6120620,270,73,2024-03-31,2023
RRQ,Q1,2791,2022,2,D1,GBP,18992414,16143551,5531160,3318696,2212464,11062320,24,32,2024-03-31,2024
RRQ,Q1,2791,2022,0,D2,GBP,9764927,8300187,1018339,2444014,1629343,5091696,145,4,2024-03-31,2022
RRQ,Q1,2791,2022,1,D2,GBP,4637385,3941777,1117702,1245439,830293,3193434,186,132,2024-03-31,2023
RRQ,Q1,2791,2022,2,D2,GBP,11525264,9796474,3599095,2159457,1439638,7198190,271,32,2024-03-31,2024
RRQ,Q1,2791,2022,0,E1,GBP,13925013,11836261,2255300,5412720,3608480,11276500,107,27,2024-03-31,2022
RRQ,Q1,2791,2022,1,E1,GBP,2489364,2115959,639094,712133,474755,1825982,10,94,2024-03-31,2023
RRQ,Q1,2791,2022,2,E1,GBP,19067450,16207332,6909499,4145699,2763799,13818997,491,192,2024-03-31,2024
RRQ,Q1,2791,2023,0,A1,GBP,7611401,6469690,906804,2176331,1450887,4534022,45,69,2024-03-31,2023
RRQ,Q1,2791,2023,1,A1,GBP,12079674,10267722,2956400,3294275,2196183,8446858,349,23,2024-03-31,2024
RRQ,Q1,2791,2023,0,A2,GBP,11077143,9415571,1446340,3471216,2314144,7231700,351,42,2024-03-31,2023
RRQ,Q1,2791,2023,1,A2,GBP,11944882,10153149,2554246,2846160,1897440,7297846,161,100,2024-03-31,2024
RRQ,Q1,2791,2023,0,D1,GBP,5271069,4480408,555292,1332701,888467,2776460,350,39,2024-03-31,2023
RRQ,Q1,2791,2023,1,D1,GBP,6839388,5813479,1666567,1857032,1238021,4761620,164,74,2024-03-31,2024
RRQ,Q1,2791,2023,0,D2,GBP,19385721,16477862,3037703,7290489,4860326,15188518,165,30,2024-03-31,2023
RRQ,Q1,2791,2023,1,D2,GBP,8052560,6844676,1752916,1953249,1302166,5008331,306,110,2024-03-31,2024
RRQ,Q1,2791,2023,0,E1,GBP,11812889,10040955,1502588,3606211,2404141,7512940,236,70,2024-03-31,2023
RRQ,Q1,2791,2023,1,E1,GBP,8170629,6945034,1871599,2085497,1390331,5347427,416,133,2024-03-31,2024
RRQ,Q1,2791,2024,0,A1,GBP,6693898,5689813,955273,2292655,1528437,4776365,155,53,2024-03-31,2024
RRQ,Q1,2791,2024,0,A2,GBP,12247051,10409993,1193732,2864956,1909971,5968659,497,77,2024-03-31,2024
RRQ,Q1,2791,2024,0,D1,GBP,8880882,7548749,1277280,3065474,2043649,6386403,125,21,2024-03-31,2024
RRQ,Q1,2791,2024,0,D2,GBP,5944378,5052721,546609,1311862,874575,2733046,135,49,2024-03-31,2024
RRQ,Q1,2791,2024,0,E1,GBP,3443709,2927152,435399,1044958,696639,2176996,463,65,2024-03-31,2024
RRQ,Q1,623,2022,0,A1,GBP,7524163,6395538,1109570,2662969,1775313,5547852,206,51,2024-03-31,2022
