Return_Type,Reporting_Period,Year_of_Account,Currency_Code,Currency_Name,Exchange_Rate_to_GBP,Rate_Type,Effective_Date
RRQ,2024-09-30,2022,USD,USD,1.249,Average,2024-09-30
RRQ,2024-09-30,2022,EUR,EUR,1.1537,Average,2024-09-30
RRQ,2024-09-30,2022,CAD,CAD,1.7304,Average,2024-09-30
RRQ,2024-09-30,2022,AUD,AUD,2.0342,Average,2024-09-30
RRQ,2024-09-30,2022,JPY,JPY,183.9329,Average,2024-09-30
RRQ,2024-09-30,2022,GBP,GBP,0.952,Average,2024-09-30
RRQ,2024-09-30,2023,USD,USD,1.2219,Average,2024-09-30
RRQ,2024-09-30,2023,EUR,EUR,1.213,Average,2024-09-30
RRQ,2024-09-30,2023,CAD,CAD,1.7997,Average,2024-09-30
RRQ,2024-09-30,2023,AUD,AUD,1.8913,Average,2024-09-30
RRQ,2024-09-30,2023,JPY,JPY,189.9306,Average,2024-09-30
RRQ,2024-09-30,2023,GBP,GBP,1.0149,Average,2024-09-30
RRQ,2024-09-30,2024,USD,USD,1.2287,Average,2024-09-30
RRQ,2024-09-30,2024,EUR,EUR,1.2028,Average,2024-09-30
RRQ,2024-09-30,2024,CAD,CAD,1.6951,Average,2024-09-30
RRQ,2024-09-30,2024,AUD,AUD,1.9838,Average,2024-09-30
RRQ,2024-09-30,2024,JPY,JPY,188.2643,Average,2024-09-30
RRQ,2024-09-30,2024,GBP,GBP,1.0237,Average,2024-09-30
