Return_Type,Reporting_Quarter,Syndicate_Number,Year_of_Account,LOB_Code,Currency,Gross_Written_Premium,Gross_Earned_Premium,Paid_Claims_Gross,Case_Reserves_Gross,IBNR_Best_Estimate,IBNR_High,IBNR_Low,Ultimate_Loss_Ratio,As_At_Date
RRQ,Q3,2987,2022,A1,GBP,13549266,12066550,5423228,977305,2306285,1890944,1282946,0.6516,2024-09-30
RRQ,Q3,2987,2022,A2,GBP,35935498,32030897,13276049,3505366,7807585,6267368,3421855,0.6302,2024-09-30
RRQ,Q3,2987,2022,D1,GBP,44659338,42337968,16200391,3813675,8206603,6666315,5695243,0.6362,2024-09-30
RRQ,Q3,2987,2022,D2,GBP,43533123,37500837,18075745,4138953,5294186,9026378,4565769,0.7173,2024-09-30
RRQ,Q3,2987,2022,E1,GBP,32232354,27748010,11709676,3219685,4103934,5432216,3617576,0.5639,2024-09-30
RRQ,Q3,2987,2023,A1,GBP,11075567,9568090,3774758,1153658,2050750,2310064,1309014,0.5935,2024-09-30
RRQ,Q3,2987,2023,A2,GBP,35398598,31469292,13319816,2777577,6650933,6117010,4310197,0.6563,2024-09-30
RRQ,Q3,2987,2023,D1,GBP,25438013,24005029,11484581,3574352,6496109,5907964,3578306,0.7337,2024-09-30
RRQ,Q3,2987,2023,D2,GBP,39253966,33866577,12090644,3390600,6432845,5215708,5088863,0.6308,2024-09-30
RRQ,Q3,2987,2023,E1,GBP,29108499,25563692,6815073,2383563,4462291,5411412,3442304,0.5719,2024-09-30
RRQ,Q3,2987,2024,A1,GBP,32248390,29169051,12093229,2978884,3789983,5593095,4820604,0.6263,2024-09-30
RRQ,Q3,2987,2024,A2,GBP,33000200,31341794,11520516,2174214,3150291,3893874,3990852,0.5809,2024-09-30
RRQ,Q3,2987,2024,D1,GBP,37661973,35684625,11313542,2919227,7988157,9549967,6007703,0.6816,2024-09-30
RRQ,Q3,2987,2024,D2,GBP,45562577,41567871,17986448,4776071,10531062,9287805,4489286,0.7361,2024-09-30
RRQ,Q3,2987,2024,E1,GBP,33505956,30416500,14702607,2780169,5627681,6343024,4089606,0.6709,2024-09-30
RRQ,Q3,33,2022,A1,GBP,29626941,25295082,8988412,2257209,4388049,6471024,1847382,0.5567,2024-09-30
RRQ,Q3,33,2022,A2,GBP,40326646,38244453,19081143,4411296,4988050,11382032,3410756,0.7467,2024-09-30
RRQ,Q3,33,2022,D1,GBP,36705688,33636126,14906013,4179519,6399036,7840615,4763943,0.6761,2024-09-30
RRQ,Q3,33,2022,D2,GBP,28054993,23876996,9883600,3513301,4880749,4908577,2818986,0.657,2024-09-30
RRQ,Q3,33,2022,E1,GBP,24771475,21143262,10191562,2634133,4447792,4708987,1644429,0.6078,2024-09-30
RRQ,Q3,33,2023,A1,GBP,36753265,33345722,14602469,3160146,7277456,5026366,4225277,0.6656,2024-09-30
RRQ,Q3,33,2023,A2,GBP,13510835,12634583,4252150,996312,1813925,3268777,898458,0.6511,2024-09-30
RRQ,Q3,33,2023,D1,GBP,12485953,11749445,5206737,1389564,1875638,1968824,1820579,0.6708,2024-09-30
